   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:40
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Bagerhat Sadar	52946	21647	3989	9567	2067	1797	2500	4307	6807	45874	86.6430
Fakirhat	29850	11532	2417	4545	2346	589	848	3201	4049	25478	85.3534
Sarankhola	20595	7476	1247	4687	922	333	1339	685	2024	16689	81.0342
Morralganj	64990	28494	3607	11247	2990	821	3414	3068	6482	53641	82.5373
Kachua	19859	7654	1515	2837	1039	1174	1212	1373	2585	16804	84.6165
Mollahat	25736	10156	1779	3575	1440	391	870	1850	2720	20061	77.9492
Rampal	33101	15482	2443	2691	1008	1155	1706	2278	3984	26763	80.8525
Chitalmari	25819	8889	1873	4842	767	607	730	1630	2360	19338	74.8983
Mongla	26215	11825	2438	3093	461	624	1687	1450	3137	21578	82.3117

 
