   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:34
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Sharasti	44714	15126	1438	9458	1524	199	326	3118	3444	31189	69.7522
Matlab (South)	40757	13051	2198	10172	666	361	366	2472	2838	29286	71.8551
Hajiganj	58063	22126	1930	11805	1598	510	418	3351	3769	41738	71.8840
Chandpur Sadar	67109	25494	2250	13494	1674	1351	805	4247	5052	49315	73.4849
Kachua	73855	25949	3594	14596	1430	888	989	4488	5477	51934	70.3189
Faridganj	78104	30768	3947	13108	1627	1060	476	5378	5854	56364	72.1653
Hemchar	18092	7134	538	3111	580	376	115	1526	1641	13380	73.9553
Motlab (North)	55951	20341	2683	9149	1345	499	236	6349	6585	40602	72.5671

 
