   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:31
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Bagerhat Sadar	52214	22761	3864	9018	1967	1227	1976	3585	5561	44398	85.0308
Fakirhat	29563	12399	2176	4657	1929	339	510	2807	3317	24817	83.9461
Sarankhola	19917	7086	955	4357	761	107	1062	627	1689	14955	75.0866
Morralganj	64425	27999	3010	8721	2649	413	3023	2934	5957	48749	75.6678
Kachua	19529	7861	1478	2747	1059	326	1033	1159	2192	15663	80.2038
Mollahat	24470	9932	1495	3283	1438	144	632	1453	2085	18377	75.1001
Rampal	32324	16119	2368	3041	1078	365	1439	1852	3291	26262	81.2461
Chitalmari	24909	8190	1614	4459	1002	243	588	1283	1871	17379	69.7700
Mongla	25143	11807	2183	3046	309	224	1428	1231	2659	20228	80.4518

 
