   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:57
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Kazipur	56738	21362	4698	11784	1753	1503	1122	2505	3627	44727	78.8308
Rayganj	67718	30122	3596	13162	2240	1029	1783	2292	4075	54224	80.0732
Tarash	44829	21783	2078	6549	983	702	1639	1440	3079	35174	78.4626
Sirajganj Sadar	111380	41004	15069	22138	2593	1167	1693	2249	3942	85913	77.1350
Kamarkhand	28676	11832	2141	5196	836	993	560	1036	1596	22594	78.7906
Chouhali	19098	6848	1625	4122	1030	788	312	748	1060	15473	81.0190
Ullahpara	119255	50077	8609	22216	2481	2219	2789	4086	6875	92477	77.5456
Belkuchi	68501	31273	8501	9861	1302	732	822	1463	2285	53954	78.7638
Shazadpur	111356	38021	8524	29306	4382	1881	1428	3984	5412	87526	78.6002

 
