   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:55
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Senbag	52928	20097	4359	8466	1359	941	527	4180	4707	39929	75.4402
Begumganj	107098	39177	8019	18715	4409	1546	911	9197	10108	81974	76.5411
Companiganj	48313	16307	3436	6779	1875	863	917	2694	3611	32871	68.0376
Sudharam (Sadar)	83573	26947	8104	16867	2166	2464	997	6381	7378	63926	76.4912
Hatiya	71176	26858	3588	18243	997	481	2034	1514	3548	53715	75.4679
Chatkhil	44605	16537	2479	5960	1805	1251	309	3620	3929	31961	71.6534
Subarna Char	50989	16756	4938	9681	800	2271	1167	2834	4001	38447	75.4025
Sonaimuri	63394	25566	4848	9203	1960	559	328	6017	6345	48481	76.4757
Kabirhat	35055	12971	2475	6763	837	809	185	2999	3184	27039	77.1331

 
