   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:56
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Kazipur	56547	21038	4570	11859	1723	1199	1118	2468	3586	43975	77.7672
Rayganj	68054	30004	3447	13006	2120	908	1777	2253	4030	53515	78.6361
Tarash	44538	21707	2025	6499	930	593	1626	1362	2988	34742	78.0053
Sirajganj Sadar	110965	40479	14883	22063	2534	983	1678	2184	3862	84804	76.4241
Kamarkhand	28519	11697	2092	5104	797	933	560	1022	1582	22205	77.8604
Chouhali	19137	6661	1517	4069	944	686	304	705	1009	14886	77.7865
Ullahpara	118602	49541	8437	22054	2291	2043	2778	4022	6800	91166	76.8672
Belkuchi	68401	30801	8561	9754	1483	675	867	1197	2064	53338	77.9784
Shazadpur	110565	37561	8409	29612	4045	1322	1385	3871	5256	86205	77.9677

 
