   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:05
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Kutubdia	22914	7215	695	6755	345	1613	286	625	911	17534	76.5209
Moheshkhali	57722	23766	1792	10018	2537	4368	2583	1745	4328	46809	81.0939
Coxs Bazar Sadar	83014	29361	7088	14253	2726	4415	2318	3302	5620	63463	76.4486
Ramu	45187	12091	2047	11083	2462	3416	2890	2341	5231	36330	80.3992
Chakaria	81855	30899	4321	20476	2393	4693	1614	4014	5628	68410	83.5746
Ukhiya	38437	15049	1739	8232	590	2503	876	951	1827	29940	77.8937
Teknaf	49360	15477	2790	14762	756	1743	1596	1168	2764	38292	77.5770
Pekua	32183	11213	857	8455	486	2203	615	991	1606	24820	77.1215

 
