   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:26
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Azmiriganj	16891	5847	825	1399	611	18	34	1657	1691	10391	61.5180
Bahubal	28891	10078	1877	2635	1233	605	295	1426	1721	18149	62.8189
Madhabpur	55137	24124	3271	4190	2744	646	1233	2943	4176	39151	71.0068
Lakhai	23673	7990	2130	3030	522	38	32	1318	1350	15060	63.6168
Habiganj Sadar	50032	20896	2942	3681	1645	442	726	2541	3267	32873	65.7039
Baniachhong	46902	16708	4304	4725	1431	58	577	1971	2548	29774	63.4813
Chunarughat	51243	21111	2287	5097	2279	229	886	2679	3565	34568	67.4590
Nabiganj	47399	13818	1065	6285	3518	1305	1159	1955	3114	29105	61.4042

 
