   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:38
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Daulatpur	109358	37656	9374	16255	1291	1009	334	20884	21218	86803	79.3751
Kushtia Sadar	104413	41520	7709	13763	1634	2876	972	11992	12964	80466	77.0651
Kumarkhali	72585	26477	7145	12825	982	1268	1614	7473	9087	57784	79.6087
Bheramara	46375	16178	5029	6982	631	600	123	6079	6202	35622	76.8129
Mirpur	75026	27786	4568	12948	1380	1085	790	9457	10247	58014	77.3252
Khoksa	29879	11540	3168	3309	638	461	808	1988	2796	21912	73.3358

 
