   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:46
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Faridpur Sadar	91513	31660	11808	12315	2492	1829	1799	9036	10835	70939	77.5179
Boalmari	53880	19903	4628	8531	3459	710	1302	4565	5867	43098	79.9889
Bhanga	52464	20620	4196	5185	3589	1016	1182	6629	7811	42417	80.8497
Char Bhadrashion	13233	3982	1904	1566	703	633	157	1259	1416	10204	77.1103
Nagarkanda	36298	14749	3704	4718	1291	878	864	3107	3971	29311	80.7510
Sadarpur	33662	11140	3577	4090	964	730	209	3265	3474	23975	71.2227
Alphadanga	22094	8037	2083	3951	1035	251	637	1619	2256	17613	79.7185
Modhukhali	43192	17461	3121	5586	1136	1030	939	4466	5405	33739	78.1140
Saltha	33181	12852	3402	5054	1199	495	710	2216	2926	25928	78.1411

 
