   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:52
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Adarsho Sadar	86997	30003	8136	14941	2735	2420	2623	6364	8987	67222	77.2693
Chouddagram	86075	32364	4157	17501	3285	1566	864	7393	8257	67130	77.9901
Barura	84865	32843	4678	16437	2852	2457	1966	5720	7686	66953	78.8935
Laksham	55131	22704	2958	10029	690	647	489	4803	5292	42320	76.7626
Burichong	63372	24318	5597	8511	2824	3674	2044	4714	6758	51682	81.5534
Brahmanpara	39714	14706	2439	6692	1618	1662	635	4223	4858	31975	80.5132
Homna	39332	12318	3657	8457	2331	662	388	2863	3251	30676	77.9925
Muradnagar	110235	39317	8973	19936	4192	3291	895	8649	9544	85253	77.3375
Debidwar	91475	36903	6457	16034	3620	1772	1344	7413	8757	73543	80.3968
Daudkandi	71148	23110	5091	12999	3719	1853	995	7315	8310	55082	77.4189
Chandina	74930	28648	4328	13890	2347	1004	2529	4533	7062	57279	76.4433
Nangolkot	71769	22769	5693	14739	1642	1928	293	7870	8163	54934	76.5428
Meghna	21679	6787	1341	5437	639	350	117	2084	2201	16755	77.2868
Titash	37152	10551	3455	7920	1848	1071	448	3969	4417	29262	78.7629
Comilla Sadar South	81469	34313	4172	13207	2030	1664	1589	6260	7849	63235	77.6185
Monohargonj	47844	18623	3787	7615	967	690	424	4383	4807	36489	76.2666

 
