   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:52
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Sharasti	47530	17045	1907	11037	1566	675	408	3735	4143	36373	76.5264
Matlab (South)	42845	14875	2780	9852	796	841	489	2899	3388	32532	75.9295
Hajiganj	61763	24627	2177	13163	1836	925	584	4388	4972	47700	77.2307
Chandpur Sadar	72777	28540	3112	14986	2626	2749	1197	4947	6144	58157	79.9112
Kachua	78911	27628	4188	15621	2231	1452	1399	5540	6939	58059	73.5753
Faridganj	81823	32351	5039	14387	2117	2206	654	6510	7164	63264	77.3181
Hemchar	19032	7886	651	3462	536	426	248	1562	1810	14771	77.6114
Motlab (North)	57922	22674	3540	9294	1332	1669	304	6185	6489	44998	77.6872

 
