monthid	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
2016-01-28	4187	7949	12136	9508	21644	3173	2748	2234	2087	909	451	758	261	567	683	586	783	794	869	622	547	598	80	245	80	254	167	148	621	159	2975	2920	2714	2419	2477	96	1148	583	233	773	2330	1363	3216	646	834	2962	3421	3711	3327	2986	3193	2514	2099	50	18	12	14	14	28	16	6	319	369	541	7965	28197	2027	31	430	71	139
2016-02-28	3560	8223	11783	9693	21476	4291	3948	2543	2026	881	590	854	267	532	806	714	823	978	969	736	636	600	99	400	99	237	143	175	662	331	3271	3252	2970	2665	2575	55	1218	330	226	815	1773	562	2901	874	772	2673	3341	3612	3480	3164	3207	2419	2190	94	6	18	15	11	26	20	2	356	404	690	4608	26283	1482	35	129	57	129
2016-03-28	2653	10450	13103	10933	24036	3174	3008	2668	2211	933	652	732	273	646	966	982	1036	1108	1105	804	747	655	57	409	57	106	22	25	599	155	2987	2763	2618	2473	2372	66	905	490	293	842	1844	486	2873	922	876	2443	3002	3181	3290	3074	3319	2085	2315	31	19	10	6	7	13	6	6	240	265	687	5286	26092	1207	16	185	79	219
2016-04-28	2695	10089	12784	9293	22077	3237	3052	2488	2387	1234	668	927	126	497	1099	1065	1175	1299	1296	1044	1023	889	148	563	148	277	220	212	684	285	2973	3150	2938	2840	2803	39	799	363	202	957	1655	443	2686	944	1033	1875	3002	3206	3137	3036	3205	2136	2405	35	13	12	2	4	6	10	3	237	256	412	5198	26568	1251	100	163	79	186
2016-05-28	2761	10177	12938	11210	24148	3448	3263	2546	2269	1131	648	705	125	709	1112	991	1082	1114	1123	945	803	687	111	390	111	355	242	236	711	329	3139	3263	3065	2901	2681	60	516	541	335	1181	1880	384	2360	1012	967	2740	3071	3268	2915	3219	3475	1998	2164	85	54	12	2	5	7	7	1	273	288	350	5737	27484	1541	35	145	62	215
2016-06-28	2576	10161	12737	10512	23249	3068	3288	2441	2047	1067	659	647	91	507	1000	1027	984	1084	1170	996	858	852	53	313	53	122	18	11	521	141	2536	2398	2323	2081	1992	51	264	517	337	899	1586	457	2271	845	995	2772	3069	3273	2868	2798	3135	2139	2331	55	8	14	5	6	11	11	3	242	267	336	3293	17390	1223	41	158	61	230
2016-07-28	2675	9729	12404	11307	23711	3485	3206	2677	2323	1121	640	752	105	557	990	1078	1142	1304	1347	1012	1034	1068	38	344	38	82	5	12	595	163	2950	2672	2751	2378	2160	37	50	61	21	648	1041	536	723	1116	913	2827	3275	3298	2878	3043	3041	2250	2196	31	7	12	13	5	18	9	1	284	312	416	4005	17443	1481	53	138	75	233
2016-08-28	2915	10061	12976	10388	23364	3619	3034	2676	2355	1108	606	829	267	572	1164	1164	1218	1352	1396	1085	1046	1094	85	409	85	151	22	17	588	144	3032	2787	2664	2514	2468	32	347	82	39	977	1098	517	1104	1044	1006	2978	3404	3417	3112	3088	3162	2529	2261	43	13	11	6	9	15	10	2	251	278	416	3348	16604	1219	42	148	68	242
2016-09-28	2914	9671	12585	10203	22788	3352	3093	2522	2308	1032	697	835	115	611	1083	1116	1270	1258	1309	1049	1092	1162	81	323	81	125	3	15	547	141	3238	2796	2737	2460	2328	57	483	62	27	818	893	395	781	941	1052	2851	3434	3560	3188	2915	2915	2517	2262	38	18	9	7	6	13	17	1	265	296	314	3665	16688	1302	154	147	66	251
2016-10-28	2927	9636	12563	9861	22424	8545	3071	2676	2203	1075	697	1003	317	664	1222	1199	1781	1438	1524	1211	1145	1132	72	464	72	107	19	75	627	260	3235	2804	2713	2398	2280	157	1016	101	106	987	1963	583	1232	1246	1168	3095	3442	3648	3395	3003	3094	2429	2752	36	11	10	8	5	13	11	2	291	317	396	4903	23353	1215	218	163	70	222
