monthid	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
2016-01-28	2629	4194	6823	4577	11400	1147	729	673	449	578	174	368	245	22	129	133	155	194	103	100	157	198	13	7	13	6	0	2	364	123	1213	1233	1203	1251	1235	29	612	42	35	295	556	47	342	88	89	1605	1900	1769	1790	1423	887	1553	1262	6	17	0	2	2	4	4	0	332	340	852	2421	14800	1057	2	95	23	130
2016-02-28	2779	3358	6137	6335	12472	1560	741	682	584	598	162	404	192	74	305	166	177	308	249	147	173	254	5	50	5	16	47	33	92	8	1164	1154	1190	1160	1203	17	659	43	46	241	585	100	758	175	209	845	1493	1603	1475	1360	1320	1224	1357	32	1	0	2	4	6	6	0	332	344	647	1298	8300	833	1	78	24	138
2016-03-28	1895	4675	6570	6888	13458	842	672	564	499	644	224	370	231	141	373	225	272	346	285	221	240	303	61	65	61	34	0	2	300	47	1231	1277	1214	1264	1187	40	674	85	20	557	379	146	307	216	323	746	1642	1849	1717	1470	1675	1491	1558	218	9	1	0	0	0	1	0	310	311	261	1458	6866	825	2	81	25	135
2016-04-28	1516	4459	5975	6788	12763	677	744	703	554	601	236	373	251	110	249	167	237	403	248	145	180	333	14	25	14	30	0	4	219	40	1236	1231	1204	1236	1344	37	499	67	28	557	438	196	841	190	222	845	1668	1694	1560	1519	1508	1417	1508	8	5	1	7	4	11	14	15	255	295	271	1222	6374	793	2	100	22	137
2016-05-28	2017	4711	6728	6582	13310	1157	922	843	650	784	291	376	282	53	335	247	317	547	272	209	270	428	22	19	22	11	0	5	281	52	1276	1375	1289	1265	1329	14	636	57	15	250	383	117	255	212	251	2272	1832	1839	1758	1593	1698	1619	1784	31	12	2	5	2	7	3	16	255	281	300	1452	5350	1012	16	101	31	143
2016-06-28	1468	4096	5564	6295	11859	710	760	645	492	690	273	359	243	131	319	280	281	446	263	227	247	355	16	31	16	20	0	1	268	43	953	971	907	930	929	11	19	59	13	604	380	356	641	228	722	1659	1672	1631	1574	1587	1469	1373	1617	2	13	1	10	2	12	3	0	234	249	348	1817	4790	955	35	83	47	144
2016-07-28	1584	3758	5342	5624	10966	1082	878	819	702	796	253	412	282	116	410	275	313	342	363	263	302	347	30	102	30	29	0	6	223	47	1114	1073	1142	1143	1155	17	224	60	25	644	422	202	687	156	355	1421	1748	1842	1702	1593	1830	1536	1567	46	3	4	5	3	8	12	9	216	245	309	1118	5679	1120	22	110	29	136
2016-08-28	1754	3422	5176	5934	11110	933	933	927	800	702	216	327	282	113	377	324	383	454	338	293	331	457	32	73	32	47	0	0	223	40	1311	1253	1295	1283	1261	29	318	96	8	605	617	181	664	173	359	1215	1851	1961	1882	1672	1902	1666	1529	4	4	1	3	2	5	7	5	239	256	262	937	6001	1052	1	96	41	121
2016-09-28	2151	4334	6485	5589	12074	916	943	941	711	689	222	333	276	130	288	250	317	490	340	222	287	443	49	73	49	112	0	4	226	42	1288	1276	1332	1283	1284	47	333	40	11	571	462	260	596	161	443	1008	1766	1888	1948	1729	1830	1767	1486	24	7	3	5	1	6	7	0	239	252	264	1088	6042	970	51	82	24	128
2016-10-28	2223	4197	6420	5726	12146	929	1082	1001	712	596	242	288	259	98	324	300	359	522	312	300	335	427	16	67	16	28	0	9	269	75	1365	1384	1475	1442	1385	31	436	95	46	286	928	187	673	89	275	1686	1937	1904	1894	1688	1973	1880	1487	4	8	0	1	3	4	4	0	271	279	566	2022	11539	1069	0	104	41	137
