monthid	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
2016-01-28	2243	6461	8704	7795	16499	1817	1600	1323	1262	517	389	586	276	91	539	333	316	523	524	217	314	424	7	48	7	93	0	4	318	78	1462	1329	1331	1192	1157	87	590	202	0	743	874	382	942	306	366	1446	1690	1623	1569	969	1304	1274	1776	46	13	5	31	11	42	9	4	355	410	729	5170	16515	1925	3	132	63	264
2016-02-28	2395	5857	8252	8273	16525	1921	1627	1232	1180	503	383	511	343	185	564	408	385	531	545	285	341	452	40	142	40	68	0	8	309	82	1439	1277	1215	1078	1007	101	603	174	75	234	690	163	324	191	346	1396	1651	1649	1600	1319	1489	1377	1887	47	10	6	21	5	26	6	1	308	341	381	1746	11500	1347	94	101	56	199
2016-03-28	1653	6412	8065	7933	15998	2050	1636	1359	1223	608	427	583	413	114	489	417	452	624	459	337	368	447	21	174	21	63	4	12	334	41	1622	1525	1385	1260	1125	76	906	160	0	491	874	249	807	293	408	1446	1763	1850	1782	1531	1852	1415	2082	14	3	8	16	6	22	4	0	253	279	258	1792	11208	1484	3	105	74	189
2016-04-28	1641	6144	7785	8083	15868	2065	1791	1533	1289	497	434	604	330	121	792	372	480	657	577	346	427	592	23	93	23	78	0	29	295	56	1512	1428	1245	1116	1029	76	942	146	17	552	964	223	468	252	313	1484	1816	1838	1775	1510	1479	1472	1881	27	13	6	19	0	19	3	1	263	286	277	1942	9573	1217	8	107	46	195
2016-05-28	1858	6040	7898	7683	15581	2075	1847	1551	1276	454	431	725	368	41	557	421	577	657	567	362	534	573	4	107	4	72	0	2	313	82	1641	1576	1371	1250	1210	142	447	176	8	452	886	237	524	261	441	1316	1738	1751	1837	1543	1682	1423	1787	11	2	5	20	3	23	4	1	258	286	297	2379	9394	1310	11	109	45	186
2016-06-28	1780	5915	7695	7649	15344	2097	1832	1566	1334	462	405	616	352	96	565	352	531	560	522	297	425	562	9	57	9	24	0	9	257	58	1586	1548	1425	1251	1281	63	145	151	0	305	639	173	475	127	238	1426	1722	1735	1675	1400	1480	1345	1580	14	6	2	20	4	24	5	1	194	224	214	1884	8813	1168	4	65	29	217
2016-07-28	1869	5791	7660	7454	15114	1550	1546	1364	1196	532	437	602	431	81	574	327	543	496	567	275	451	453	73	76	73	58	0	9	274	64	1437	1449	1318	1190	1210	83	101	87	0	180	405	179	252	279	238	1418	1674	1608	1661	1519	1600	1345	1767	11	6	3	22	5	27	4	2	250	283	363	1359	6382	1620	0	62	42	216
2016-08-28	2247	5341	7588	7602	15190	2165	1728	1574	1225	580	426	651	501	301	535	431	647	586	535	375	450	474	25	137	25	47	0	12	258	44	1709	1527	1437	1286	1280	121	342	153	47	354	474	153	544	230	341	1574	1710	1642	1647	1514	1709	1433	2072	17	9	0	26	2	28	7	2	264	301	454	965	6952	1806	8	57	47	901
2016-09-28	2120	5666	7786	7374	15160	1837	1678	1411	1361	616	399	771	482	156	569	409	595	610	455	366	481	574	4	147	4	75	0	5	297	88	1598	1569	1334	1220	1574	118	540	80	8	380	592	151	531	372	250	1515	1706	1655	1617	1397	1691	1409	2116	23	13	1	27	3	30	8	2	261	301	389	652	5821	1763	8	102	38	876
2016-10-28	1991	5605	7596	7351	14947	1710	1634	1492	1334	585	395	860	504	279	575	420	651	644	560	407	589	564	6	212	6	75	0	5	261	124	1683	1577	1494	1208	1211	119	563	104	11	173	911	152	668	264	397	1772	1888	1807	1670	1464	1843	1522	2187	25	9	5	20	4	24	13	1	240	278	387	2611	12983	1373	3	72	41	852
2016-11-28	2117	5481	7598	7189	14787	1854	1678	1613	1228	584	366	732	482	321	554	578	783	784	548	554	539	663	102	271	102	55	0	3	253	67	1697	1575	1555	1316	1312	99	625	97	25	492	2097	177	841	308	578	1547	1846	1772	1642	1387	1570	1402	2191	11	3	3	20	5	25	2	2	295	324	419	2696	17459	2008	5	77	45	703
2016-12-28	1765	5543	7308	7081	14389	1675	1582	1520	1317	517	378	731	474	253	678	439	664	691	651	413	562	657	8	160	8	92	0	3	299	88	1685	1592	1530	1274	1300	121	419	119	8	367	1318	93	634	351	523	1424	1749	1613	1683	1420	1607	1340	2033	6	1	2	15	3	18	3	0	308	329	289	2592	15337	2499	4	91	55	871
2017-01-28	1757	5405	7162	6728	13890	1992	1610	1493	1229	474	343	790	445	320	637	487	623	814	655	453	536	690	1	110	1	49	0	15	310	72	1672	1480	1411	1234	1232	101	385	99	12	707	1614	134	940	435	598	1509	1744	1748	1603	1380	1665	1353	2053	14	16	1	26	7	33	0	3	334	370	472	3295	21253	2010	10	107	48	237
2017-02-28	1927	5130	7057	6733	13790	1883	1565	1421	1331	487	392	633	523	242	610	498	646	655	572	429	546	613	0	152	0	37	0	4	277	90	1583	1436	1325	1201	1148	131	770	146	23	579	1588	133	1178	365	451	1473	1734	1741	1620	1597	1670	1385	2071	12	8	1	10	5	15	6	1	293	315	385	3412	19187	1749	5	80	45	674
2017-03-28	1980	5240	7220	6443	13663	2383	1662	1471	1228	497	362	615	400	326	609	413	602	720	622	401	535	667	7	237	7	64	0	2	274	96	1757	1487	1418	1280	1206	135	714	130	14	713	1936	224	1054	391	504	1486	1791	1733	1685	1930	1634	1425	1852	18	12	1	17	7	24	9	2	287	322	564	5732	20051	2070	3	94	44	732
2017-04-28	2191	5028	7219	6843	14062	2459	1853	1558	1342	467	308	572	379	305	622	452	588	736	630	404	559	671	11	228	11	89	8	6	245	75	1778	1620	1396	1282	1192	165	773	153	9	782	1801	149	1155	396	495	1507	1798	1677	1965	1777	1809	1365	1895	8	9	0	12	3	15	1	1	239	256	518	2880	19625	2061	11	95	49	254
