monthid	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
2016-01-28	1683	3213	4896	3574	8470	1165	857	1009	439	611	43	156	107	228	325	101	116	176	126	100	116	168	33	125	33	29	0	7	66	9	341	386	387	341	312	98	531	69	1	67	240	111	81	118	218	523	634	627	573	249	195	495	836	9	8	0	4	3	7	2	1	168	178	180	1322	8162	488	0	32	27	89
2016-02-28	1566	2078	3644	3920	7564	1145	1062	917	804	559	23	270	92	166	308	186	244	249	225	218	239	199	7	123	7	13	1	1	85	99	312	297	296	312	313	64	516	30	0	260	439	40	186	116	153	296	307	293	284	346	385	360	601	14	4	0	0	1	1	2	1	146	150	360	658	4665	482	45	144	43	137
2016-03-28	1115	3174	4289	114201	118490	14369	1234	1114	891	668	50	249	144	126	267	255	362	297	295	219	297	291	5	175	5	8	0	4	100	61	714	702	691	629	609	149	501	71	14	123	985	333	278	70	123	578	647	651	757	590	649	487	995	25	7	0	1	1	2	2	7	154	165	102	1175	7026	609	26	42	62	141
2016-04-28	913	2828	3741	3927	7668	1274	1654	1138	946	625	27	216	89	109	278	244	289	308	268	214	289	277	4	28	4	0	0	1	123	12	551	628	618	593	626	107	405	24	0	127	419	91	160	72	100	497	569	621	558	511	628	350	802	6	1	2	2	1	3	0	1	115	119	216	1108	6553	281	70	32	21	62
2016-05-28	1040	2981	4021	4340	8361	1586	1254	1059	839	736	54	246	130	165	302	244	346	360	235	222	312	361	33	55	33	3	0	0	146	4	583	621	660	574	533	71	804	33	0	125	800	197	135	81	281	588	763	907	805	573	660	522	1039	15	5	0	1	1	2	2	0	123	127	121	1082	6215	474	12	35	38	132
2016-06-28	1036	3143	4179	4325	8504	1264	1422	1081	767	626	48	336	198	87	287	239	306	376	256	216	269	325	4	78	4	3	0	1	116	13	927	766	777	601	549	99	508	36	6	170	615	269	126	149	265	747	837	781	835	1185	826	648	1027	19	2	1	1	0	1	1	1	167	170	129	884	5953	518	0	39	21	142
2016-07-28	1294	2780	4074	4581	8655	1477	1238	1095	824	811	63	259	133	48	273	244	326	347	263	243	231	318	2	90	2	6	0	0	135	16	841	864	828	748	709	173	234	23	8	360	633	222	139	99	251	557	669	694	633	542	738	472	1035	49	1	1	2	1	3	2	1	148	154	105	1203	5176	585	0	16	18	106
2016-08-28	1588	2841	4429	4637	9066	11838	1440	1128	930	729	20	288	157	89	288	254	328	317	249	203	278	316	2	98	2	7	0	0	114	58	639	616	710	677	685	76	513	79	8	160	732	162	216	167	174	570	653	661	611	557	607	614	1007	5	3	2	3	0	3	2	0	147	152	277	1303	6080	841	5	51	33	120
2016-09-28	1359	2542	3901	4079	7980	1721	1370	993	871	686	19	253	132	90	267	255	322	367	233	223	259	357	3	136	3	8	0	0	125	13	556	755	561	620	534	32	331	41	31	112	744	71	187	169	175	390	481	471	458	456	498	380	1111	9	1	1	2	0	2	3	0	119	124	205	1016	5510	525	48	17	32	109
2016-10-28	1338	3045	4383	4503	8886	1513	1669	1133	891	758	38	338	141	111	319	320	306	392	290	239	300	356	5	89	5	3	0	0	102	18	743	743	748	674	661	39	713	16	0	590	1315	149	309	262	120	753	804	842	882	657	821	604	947	10	1	1	4	2	6	0	1	141	148	100	1767	8892	703	0	24	19	136
