monthid	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
2016-01-28	2361	3800	6161	4308	10469	1648	1492	1247	844	431	197	381	285	150	294	199	308	425	231	142	246	334	27	67	27	118	0	12	798	222	1640	1628	1593	1446	1424	47	635	77	0	602	601	154	1279	174	213	1858	1950	1821	1809	1427	1244	1413	1353	3	4	0	3	1	4	4	1	497	506	247	2573	26132	885	57	100	65	154
2016-02-28	2320	3452	5772	5641	11413	1676	1337	1111	732	444	156	261	253	130	236	151	242	395	211	125	192	344	7	38	7	97	18	24	776	246	1763	1625	1607	1517	1536	35	530	71	61	397	1168	319	858	197	202	1999	2237	2136	2082	1930	1697	1719	1259	1	2	0	0	0	0	3	0	376	379	490	2843	28674	758	3	92	84	188
2016-03-28	1558	4222	5780	5543	11323	1778	1554	1180	832	450	245	306	309	139	250	215	362	465	229	200	278	319	13	83	13	148	0	20	669	231	1832	1860	3737	1531	1506	37	572	61	51	451	993	251	635	238	321	1909	2127	2148	2123	1886	1658	1848	1506	32	14	1	4	3	7	4	1	295	307	429	2570	26135	777	2	107	86	166
2016-04-28	1570	4329	5899	5626	11525	1326	1234	892	639	368	170	255	242	139	215	165	252	367	198	165	210	284	18	49	18	123	0	13	1017	341	1838	1977	1833	1654	3746	34	600	146	11	409	715	235	744	301	440	1896	2043	2095	2069	1736	1715	1776	1525	14	19	2	9	1	10	3	0	305	318	550	1561	17568	723	1	103	80	179
2016-05-28	1725	4220	5945	5616	11561	1573	1214	1028	698	451	226	291	271	167	273	219	308	373	262	164	215	302	30	116	30	55	0	9	817	282	1747	1748	1672	1523	1476	27	429	159	5	486	2439	494	521	315	719	1881	1952	2026	2039	1675	1657	1664	1528	14	5	0	5	1	6	0	0	303	309	466	1572	16681	889	1	100	62	183
2016-06-28	1602	4546	6148	4940	11088	1406	1306	966	644	473	181	258	278	116	262	224	264	348	260	208	213	267	13	108	13	92	0	6	778	275	1604	1633	1632	1512	1440	27	0	117	5	582	697	243	794	371	477	1851	2043	2015	2062	1867	1705	1679	1530	37	6	0	4	1	5	2	0	259	266	420	1387	14679	798	0	94	79	161
2016-07-28	1619	4580	6199	5195	11394	1444	1294	1034	590	450	180	276	307	136	249	208	295	386	216	157	245	336	9	155	9	110	3	4	815	273	1580	1587	1542	1460	1393	18	108	107	3	508	482	229	783	373	464	1770	1895	1938	1896	1801	1551	1552	1679	12	19	1	3	2	5	2	0	263	270	430	1071	12436	709	0	101	58	206
2016-08-28	1910	4557	6467	4867	11334	2413	1913	1420	901	355	235	322	270	170	357	281	423	461	323	267	338	389	5	159	5	124	0	5	742	223	1758	1640	1693	1562	1615	30	479	105	0	271	446	225	579	407	503	1899	2039	2028	1866	1806	1704	1769	1496	13	13	0	12	3	15	6	1	269	291	624	936	11020	832	17	103	83	218
2016-09-28	1932	4529	6461	4869	11330	2034	1854	1305	834	439	217	311	307	152	318	256	315	549	324	220	313	487	14	110	14	98	0	4	787	244	1636	1609	1562	1482	1535	26	612	105	7	460	521	255	615	408	526	1838	1974	1953	1977	1763	1580	1659	1618	108	14	4	3	1	4	3	1	272	280	612	1260	13192	858	7	91	54	209
2016-10-28	1845	4654	6499	4950	11449	2148	1889	1533	910	373	203	280	298	175	342	285	383	508	323	269	359	464	25	111	25	107	0	3	747	239	1786	1734	1682	1588	1608	39	816	98	11	530	896	281	928	401	541	1967	2018	2039	1981	1900	1722	1662	1627	17	6	1	4	2	6	3	0	308	317	637	1627	19681	806	0	99	88	198
