monthid	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
2016-01-28	2072	5730	7802	3347	11149	1254	1034	701	467	131	46	181	249	36	167	97	210	205	156	85	197	198	17	69	17	28	1	9	161	74	976	1012	899	891	909	32	247	74	19	195	771	161	926	109	78	1085	1291	1286	1261	916	902	1049	530	17	12	2	12	3	15	2	0	327	344	304	5943	23700	555	1	69	34	250
2016-02-28	2046	5600	7646	3926	11572	1415	1126	893	722	162	57	198	214	53	215	168	292	295	174	142	219	256	6	62	6	38	2	1	309	159	904	887	907	828	902	42	379	88	20	228	912	162	994	106	239	1156	1239	1316	1306	1133	1084	986	677	16	6	1	10	2	12	6	0	331	349	586	5122	20295	458	11	89	70	229
2016-03-28	1332	6753	8085	4976	13061	1363	1287	1045	882	166	70	154	15	57	248	157	259	393	238	138	210	298	5	71	5	35	0	22	382	106	1019	1082	1120	960	956	63	554	89	27	313	968	480	1125	204	129	1185	1275	1359	1336	1183	1316	1230	934	24	28	1	11	2	13	1	0	326	340	475	4411	16555	807	13	117	65	219
2016-04-28	1174	6668	7842	5429	13271	1377	1138	984	731	191	62	120	15	59	160	151	273	380	150	137	200	242	8	89	8	59	0	2	324	133	991	1069	1044	946	1012	48	574	77	19	330	850	364	1128	143	128	1189	1309	1401	1396	460	1357	1148	891	11	14	2	4	3	7	4	0	243	254	297	4531	16397	647	6	119	59	202
2016-05-28	1089	6742	7831	4696	12527	1391	1335	1096	821	233	54	143	11	57	197	195	288	500	184	156	249	340	18	158	18	41	10	8	263	91	1009	1027	1052	946	1015	46	618	79	26	303	730	385	1203	189	96	1220	1348	1296	1309	969	1296	1266	1085	73	8	2	3	7	10	5	14	330	359	245	3581	14280	876	0	103	72	272
2016-06-28	938	6182	7120	4894	12014	1392	1201	1040	751	174	59	113	11	67	166	151	268	428	167	131	249	352	20	124	20	10	8	0	254	114	877	955	938	859	820	170	220	63	19	249	671	427	1140	139	101	1268	1441	1428	1449	1171	1384	1525	1110	14	5	1	6	2	8	5	0	251	264	221	3368	12850	757	0	101	68	213
2016-07-28	1076	5767	6843	4630	11473	1407	1269	1061	907	235	68	159	7	97	266	187	337	466	195	164	299	368	17	128	17	30	3	1	263	78	1009	1011	1071	937	951	135	254	64	14	377	778	297	1147	221	201	1348	1436	1609	1519	1330	1401	1559	1387	4	3	2	6	2	8	2	1	306	317	254	3694	13228	733	0	95	73	218
2016-08-28	1244	4666	5910	4705	10615	1877	1302	1097	884	223	147	167	12	95	225	204	352	538	216	144	274	330	35	143	35	47	0	5	412	129	1051	1083	1149	1014	1011	37	224	66	20	301	554	335	1181	176	152	1467	1593	1508	1477	1476	1533	1669	1371	8	18	2	12	5	17	5	0	295	317	389	3473	12662	699	2	111	57	227
2016-09-28	1217	5318	6535	3788	10323	1306	1101	968	683	217	104	167	16	82	181	154	273	467	172	160	235	336	20	174	20	32	0	0	268	105	1056	1109	1057	957	936	139	441	70	40	353	1128	428	1702	228	281	1364	1518	1447	1451	1420	1612	1274	1504	13	12	1	8	3	11	1	0	273	285	366	4020	15377	833	4	109	74	243
2016-10-28	1199	4935	6134	3827	9961	1397	1144	1045	848	198	79	165	15	89	218	195	283	491	217	165	272	317	20	189	20	58	0	4	256	112	1143	1188	1190	1040	988	160	419	58	27	455	1530	448	1528	169	215	1397	1561	1477	1484	1496	1515	1422	1328	16	8	1	5	2	7	5	0	250	262	292	6030	23497	691	0	103	66	197
