monthid	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
2016-01-28	1494	4172	5666	3986	9652	596	540	512	504	122	21	52	18	17	43	28	59	119	29	13	46	114	0	34	0	7	0	2	105	23	295	311	337	305	319	27	275	2	0	118	392	40	337	3	50	298	304	262	285	196	207	243	264	3	2	1	5	0	5	0	0	62	67	66	3631	13820	451	0	8	27	75
2016-02-28	1556	3736	5292	5110	10402	797	563	555	296	117	3	69	0	34	63	33	71	94	50	29	60	96	0	56	0	7	0	7	84	31	322	342	365	362	345	24	282	4	0	261	520	161	165	10	79	340	322	331	318	439	290	287	228	1	0	0	1	1	2	0	0	39	41	65	2949	9028	696	0	30	38	143
2016-03-28	1350	4134	5484	4940	10424	625	615	539	330	435	79	256	93	21	129	111	178	173	94	51	89	120	18	91	18	7	0	3	120	51	438	429	457	366	411	26	236	4	0	98	294	66	122	140	206	429	392	367	375	513	407	326	993	46	14	10	5	1	6	2	1	166	175	354	2179	7932	836	0	55	32	156
2016-04-28	1289	3755	5044	4957	10001	620	630	500	337	278	39	235	120	11	99	81	148	189	83	80	108	153	0	66	0	8	0	1	93	34	379	341	352	325	332	32	167	26	2	129	376	40	201	101	181	391	442	388	369	652	414	400	1041	13	5	11	9	1	10	0	0	187	197	251	1816	7069	897	0	35	37	156
2016-05-28	1499	3554	5053	4740	9793	690	657	603	401	411	78	288	309	37	126	91	134	187	96	72	115	166	1	39	1	6	0	0	107	36	467	407	398	375	377	39	77	43	0	287	550	113	247	149	152	458	455	453	403	599	385	378	1353	14	6	8	13	3	16	1	0	215	232	257	2376	10486	1093	28	33	51	141
2016-06-28	1285	3688	4973	4479	9452	868	617	558	397	392	88	277	259	21	116	107	100	174	118	83	63	120	16	31	16	2	0	0	115	37	422	392	399	377	329	20	17	91	0	82	275	60	108	176	203	505	495	533	466	596	389	440	1206	11	14	6	11	2	13	1	0	183	197	328	1490	7363	759	6	35	40	138
2016-07-28	1508	3404	4912	4428	9340	601	597	536	349	463	71	339	324	30	147	73	113	179	148	78	96	146	2	21	2	15	0	2	133	34	405	383	401	353	308	18	12	29	0	83	292	97	132	274	217	439	453	409	418	370	277	284	1301	7	9	8	16	2	18	1	1	213	233	413	1241	5557	797	10	49	45	156
2016-08-28	1641	3276	4917	4526	9443	890	731	608	443	412	76	320	328	19	159	101	145	211	124	98	118	151	2	32	2	9	0	1	153	66	471	424	416	411	425	17	80	74	0	88	288	61	95	41	61	553	472	474	489	446	348	431	1360	15	5	6	13	2	15	2	0	238	255	524	1080	5356	736	4	55	41	184
2016-09-28	1690	3476	5166	4363	9529	905	820	646	456	535	60	301	365	22	143	117	164	244	114	91	132	214	1	62	1	7	0	0	166	62	483	506	480	457	475	67	476	3	0	89	386	83	77	25	35	528	464	416	396	443	350	442	1616	4	13	2	21	1	22	3	0	200	225	604	1873	6388	822	2	73	42	171
2016-10-28	1689	3358	5047	4495	9542	1063	933	698	472	463	66	340	373	19	137	117	145	228	122	112	134	229	1	24	1	8	0	0	155	83	541	534	631	457	477	41	645	2	0	82	470	24	121	76	118	634	582	537	517	537	419	531	1432	3	7	4	15	1	16	3	0	233	252	492	2941	11074	848	2	34	42	210
2016-11-28	1746	3575	5321	4766	10087	790	904	724	500	396	152	320	568	31	155	135	160	275	139	108	135	209	0	61	0	8	0	0	162	61	544	530	476	506	567	61	634	47	0	184	612	24	166	17	35	560	522	501	493	394	393	392	1398	6	5	6	17	1	18	6	1	272	297	577	3216	14851	785	0	80	33	202
2016-12-28	1291	3833	5124	4605	9729	671	790	673	508	411	97	309	371	17	150	121	117	251	148	90	88	211	1	67	1	1	1	0	124	40	406	429	430	430	436	65	407	1	0	141	769	26	133	90	25	504	534	549	534	367	435	436	1419	17	1	9	13	4	17	2	0	242	261	397	2989	13619	794	2	91	44	225
2017-01-28	1348	3901	5249	4799	10048	915	888	837	662	476	74	389	409	27	187	143	203	343	182	128	184	311	0	52	0	16	0	0	167	63	512	427	453	408	454	55	282	3	0	163	875	61	121	29	33	508	463	432	492	620	435	451	1487	6	10	11	16	2	18	4	1	323	346	555	3703	17757	968	2	74	38	214
2017-02-28	1412	3635	5047	4797	9844	933	902	826	588	426	60	337	338	22	232	156	200	294	204	133	189	265	0	65	0	9	0	1	146	62	472	395	420	356	405	58	265	20	1	183	1035	60	185	36	25	513	522	478	466	545	442	424	1372	6	7	12	12	7	19	1	3	269	292	498	3938	17752	1207	29	73	38	177
2017-03-28	1520	3630	5150	4736	9886	1032	907	740	652	459	67	296	424	15	408	175	233	323	371	145	203	259	0	97	0	3	0	0	140	48	510	498	471	409	393	75	235	3	0	209	1001	50	113	118	22	541	479	480	492	702	418	453	1392	36	3	9	15	7	22	3	0	217	242	629	3519	18438	944	0	73	41	201
2017-04-28	1474	3669	5143	4131	9274	1061	891	809	636	361	76	327	360	82	314	171	241	341	204	179	219	290	0	127	0	7	0	0	163	70	462	432	434	423	420	57	294	4	0	145	996	19	113	86	28	556	555	505	511	651	438	473	1281	14	3	7	6	5	11	3	0	189	203	505	4065	16306	883	2	120	39	203
2017-05-28	1432	3760	5192	4127	9319	1079	940	823	670	387	89	305	379	24	323	195	227	336	311	176	219	312	2	72	2	14	0	0	157	83	564	500	510	434	408	53	170	3	0	234	836	55	120	52	30	650	579	603	536	783	547	558	1335	3	1	2	9	2	11	0	1	232	244	432	3234	16027	948	35	130	46	227
2017-06-28	1252	3638	4890	4848	9738	968	854	733	617	448	64	283	357	24	322	175	233	291	321	138	198	302	22	109	22	6	0	0	167	64	454	503	443	406	443	73	371	4	0	198	794	13	67	63	34	593	564	575	554	625	469	464	1213	3	3	5	9	3	12	3	0	163	178	456	2147	16532	1352	2	137	41	220
2017-07-28	1442	3383	4825	4222	9047	1179	989	894	651	359	61	242	398	30	266	178	282	418	318	180	260	379	4	109	4	7	0	1	164	64	481	458	413	392	397	93	729	4	0	305	1011	36	97	53	44	642	586	546	556	602	501	447	1210	2	2	10	5	2	7	3	2	211	223	613	3797	19891	1152	2	195	37	216
2017-08-28	1558	3333	4891	4394	9285	1395	983	819	664	396	79	278	388	27	348	203	356	456	334	188	224	377	3	173	3	13	0	0	127	66	559	425	443	410	379	97	738	4	0	220	828	12	88	96	30	581	620	583	549	743	559	509	1156	1	7	6	8	2	10	0	1	203	214	562	3070	16585	1062	2	162	37	231
2017-09-28	1496	3310	4806	4554	9360	1118	1096	932	688	396	90	310	409	37	239	226	313	478	199	215	300	437	6	115	6	5	0	1	149	65	593	560	485	392	414	73	731	6	0	327	901	1	112	65	65	558	540	491	483	500	453	412	1247	5	9	6	6	2	8	4	0	227	239	529	2758	16009	1092	2	163	40	230
2017-10-28	1513	3209	4722	4613	9335	1087	969	890	538	417	58	308	511	33	291	233	284	408	268	199	250	350	2	95	2	14	0	0	137	53	582	533	494	487	399	55	704	3	0	207	777	10	66	79	29	496	519	472	461	422	386	422	1322	1	1	5	13	3	16	4	0	221	241	508	3753	17061	967	4	171	36	244
2017-11-28	1490	3499	4989	4481	9470	1028	1039	884	553	464	60	272	481	29	305	207	321	559	291	184	311	515	12	143	12	14	0	0	194	70	535	502	512	536	461	91	615	4	1	136	666	2	46	95	39	523	503	478	464	404	418	475	1252	13	7	0	19	1	20	1	0	262	283	650	2294	11851	937	2	160	43	231
2017-12-28	1212	3327	4539	4644	9183	2103	903	816	655	408	52	284	498	31	299	225	308	543	288	198	299	488	14	131	14	10	0	0	177	141	542	485	561	479	528	47	626	3	0	116	628	36	58	110	44	790	716	642	633	817	626	746	1382	5	9	3	2	5	7	5	1	256	269	671	2650	12686	1189	2	186	48	223
2018-01-28	1348	3447	4795	4325	9120	1054	989	866	671	427	66	316	524	47	331	242	369	530	305	214	347	462	0	138	0	8	0	1	162	69	546	509	528	451	430	74	748	4	0	120	549	32	99	90	51	688	640	622	553	679	529	592	1353	7	9	8	12	4	16	2	0	307	325	517	2761	15072	703	2	146	40	189
2018-02-28	1402	3228	4630	4433	9063	1300	1021	866	619	430	61	310	514	17	286	202	295	564	281	182	275	500	7	192	7	8	0	0	193	107	591	530	472	439	442	67	709	2	0	148	879	11	114	57	35	610	641	578	548	578	512	555	1368	1	5	7	5	5	10	0	1	282	293	578	2533	17519	1303	4	167	34	205
2018-03-28	1220	3459	4679	4314	8993	1175	1144	951	718	402	54	328	447	35	356	209	289	502	325	188	277	470	8	183	8	10	0	2	167	61	651	542	538	456	459	65	831	3	0	231	926	24	89	87	47	603	609	589	594	603	405	426	1237	8	5	7	9	1	10	1	0	231	242	495	3066	17396	1132	1	163	40	199
2018-04-28	1160	3326	4486	4363	8849	1380	990	909	704	389	50	250	436	41	325	222	257	475	336	206	225	411	23	152	23	18	0	1	185	60	631	523	527	431	429	64	716	4	0	324	1012	32	115	93	37	522	523	533	515	511	466	480	1161	6	8	7	7	1	8	2	2	194	206	461	3023	14905	763	2	159	39	209
2018-05-28	1180	3281	4461	4449	8910	1189	1152	941	712	373	32	298	470	24	379	232	291	487	348	219	285	467	17	214	17	18	0	0	129	57	594	549	562	519	443	33	710	3	0	502	2676	173	220	333	339	670	684	597	700	716	557	508	1149	5	6	3	10	0	10	4	1	176	191	410	4888	13640	647	2	137	38	220
2018-06-28	984	3252	4236	4440	8676	1385	3010	890	675	337	52	249	452	251	196	212	252	522	185	200	238	369	3	116	3	21	11	10	164	121	506	531	468	438	451	152	759	5	0	377	2035	399	180	274	262	614	561	567	556	561	514	464	1037	25	4	8	5	2	7	1	0	170	178	363	2390	10544	924	21	138	55	221
2018-07-28	1224	3337	4561	4251	8812	1786	1119	963	789	352	207	208	397	112	137	228	388	441	187	203	346	384	75	193	75	9	0	2	176	56	524	493	470	373	418	165	829	27	93	521	2475	118	236	247	296	546	555	511	529	557	493	451	1042	40	0	2	6	2	8	2	0	180	190	473	2917	14197	1278	1	151	41	212
2018-08-28	1176	3203	4379	4484	8863	1128	1241	874	725	489	91	243	411	71	339	200	311	513	333	182	275	442	15	246	15	6	0	0	155	53	585	564	525	456	467	43	805	8	0	558	1960	277	159	259	89	518	681	570	521	740	631	424	1003	2	2	1	3	0	3	4	0	191	198	452	3079	13525	765	9	172	46	224
