monthid	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
2016-01-28	2495	6130	8625	6475	15100	2172	2034	1458	1048	816	125	539	249	156	387	387	549	658	382	327	454	536	12	124	12	103	0	13	507	111	1675	1699	1652	1507	1552	29	692	113	46	548	1407	245	721	181	268	2455	2434	2405	2358	1694	755	2031	1743	26	13	10	21	9	30	5	9	451	495	408	3509	19575	1307	4	133	82	332
2016-02-28	2729	5289	8018	7483	15501	2019	1664	1499	1127	965	160	489	286	149	436	409	531	698	348	353	450	605	7	60	7	59	0	5	477	105	1757	1775	1709	1539	1626	32	716	49	14	594	1403	330	641	222	250	2412	2533	2461	2552	1731	2616	2259	1670	23	9	25	20	10	30	4	3	512	549	680	2666	18329	922	13	114	44	349
2016-03-28	1863	6117	7980	7092	15072	1731	1698	1550	1121	962	172	456	281	156	354	396	521	748	332	386	484	616	10	47	10	49	1	8	527	133	1668	1707	1787	1580	1584	37	588	81	1	539	743	316	679	175	185	1964	2302	2352	2317	1980	2137	2055	1831	38	4	26	12	6	18	7	0	372	397	588	2790	19478	687	6	104	54	330
2016-04-28	1776	5785	7561	7418	14979	2064	7505	1425	1060	911	131	548	320	205	414	544	599	769	379	508	496	656	31	58	31	67	0	11	530	245	1630	1703	1612	1467	1384	29	583	64	27	410	834	436	855	186	186	1908	2286	2246	2199	1844	2204	2090	1722	46	11	13	15	10	25	5	1	322	353	442	2973	17965	590	13	123	77	303
2016-05-28	1823	5740	7563	6916	14479	1765	1553	1396	1072	863	176	515	312	154	423	528	626	786	376	371	517	638	13	57	13	75	0	4	461	133	1710	1758	1778	1527	1555	12	369	46	34	570	945	324	698	150	208	2194	2227	2217	2187	1827	2099	1972	1802	15	6	12	19	8	27	4	1	363	395	333	3472	18591	629	3	125	57	315
2016-06-28	1720	5583	7303	6198	13501	1667	1616	1372	1091	757	111	527	292	164	399	440	578	708	386	384	494	619	13	52	13	59	0	8	442	125	1681	1643	1692	1544	1448	7	225	55	22	488	798	457	773	105	167	2064	2093	2228	2226	1943	2200	1825	1578	7	9	12	17	5	22	3	3	297	325	292	2509	16689	936	1	110	51	292
2016-07-28	1988	5533	7521	5759	13280	2017	1627	1489	1138	902	195	385	388	165	400	496	561	706	385	455	514	608	32	83	32	47	2	7	457	131	1706	1840	1845	1599	1544	14	96	62	9	530	1020	411	679	160	195	1997	2102	2201	2242	1856	2301	2029	1887	30	10	18	18	6	24	4	4	333	365	329	2198	14782	540	12	115	62	320
2016-08-28	2106	5445	7551	5919	13470	2203	1709	1489	1074	907	126	396	357	206	509	487	568	702	482	444	511	610	12	76	12	62	0	6	437	130	1857	1823	1904	1699	1715	14	118	36	24	1005	711	429	733	216	10044	2217	2311	2298	2322	1944	2319	2141	1715	22	4	11	15	1	16	6	8	344	374	355	2487	15600	566	11	76	63	274
2016-09-28	2048	5352	7400	6041	13441	1998	1781	1508	1284	1037	153	290	342	202	534	584	621	726	507	554	530	593	13	104	13	89	3	11	480	141	1752	1772	1889	1654	1642	32	103	48	7	675	1182	497	616	243	327	2210	2250	2301	2263	2057	2306	2091	2020	42	9	15	21	11	32	8	5	309	354	433	2198	14392	574	11	95	67	267
2016-10-28	1928	4926	6854	5678	12532	2769	1587	1508	1178	946	136	456	362	170	442	557	573	723	411	579	502	617	13	75	13	63	0	10	444	148	1774	1756	1790	1645	1568	77	56	34	25	978	1242	430	528	214	345	2061	2095	2019	2105	1790	2156	1847	1749	15	1	15	12	10	22	4	4	314	344	367	2967	18679	594	12	88	61	268
