monthid	MCH37	MCH38	MCH39	MCH40	MCH41	MCH42	MCH43	MCH44	MCH45	MCH46	MCH47	MCH48	MCH49	MCH50	MCH51	MCH52	MCH53	MCH54	MCH55	MCH56	MCH57	MCH58	MCH59	MCH60	MCH61	MCH62	MCH63	MCH64	MCH65	MCH66	MCH67	MCH68	MCH69	MCH70	MCH71	MCH72	MCH73	MCH74	MCH75	MCH76	MCH77	MCH78	MCH79	MCH80	MCH81	MCH82	MCH83	MCH84	MCH85	MCH86	MCH87	MCH88	MCH89	MCH90	MCH91	MCH92	MCH93	MCH94	MCH95	MCH96	MCH97	MCH98	MCH99	MCH100	MCH101	MCH102	MCH103	MCH104	MCH105	MCH106	MCH107
2016-01-28	3603	9325	12928	11516	24444	4367	3322	3001	2252	1153	1309	635	183	477	1301	1084	1108	1288	1151	892	962	1216	7	144	7	204	0	30	501	116	1866	1667	1618	1603	1562	33	3087	121	43	225	483	273	219	733	646	2067	3250	3191	3074	2453	2489	2934	3148	33	26	26	65	14	79	6	10	403	498	363	3394	16545	1314	25	122	107	361
2016-02-28	3679	8556	12235	12668	24903	5317	4140	3476	2743	1154	1260	669	177	568	1345	1416	1409	1486	1209	1178	1245	1415	10	143	10	274	2	35	531	92	2304	2025	2076	1875	1722	53	2922	118	13	299	302	266	483	901	772	1843	3670	3428	3284	2903	3077	3070	3070	30	4	23	56	17	73	5	5	344	427	473	2590	12897	825	36	117	128	329
2016-03-28	2827	9185	12012	11947	23959	4715	3971	3102	2254	1025	1390	636	169	548	1375	1221	1174	1214	1178	1041	1051	1081	15	159	15	183	1	27	493	87	2399	2225	1973	1933	2262	24	2857	83	26	396	174	85	418	792	1118	2352	3242	3360	3116	2816	2965	2966	3321	28	19	26	62	5	67	6	7	326	406	1405	2293	11293	804	34	131	132	347
2016-04-28	2791	9762	12553	11209	23762	4664	3895	3220	2553	964	1150	603	175	465	1255	1074	1057	1173	1098	934	900	1049	11	119	11	160	2	34	532	139	2215	2256	1779	1710	1610	31	2062	178	21	518	425	192	542	717	1253	1136	3257	3327	3114	3117	3268	2808	2988	13	9	31	68	13	81	8	6	271	366	400	2487	10034	776	40	130	94	318
2016-05-28	3073	8700	11773	11491	23264	5015	3605	3022	2286	922	1199	564	76	503	1117	887	949	1028	932	722	807	900	8	81	8	122	10	23	524	100	2080	2236	2086	1783	1700	15	1061	135	11	516	442	230	321	754	655	3522	2646	2705	2621	2670	2649	2365	2928	30	36	32	66	12	78	9	5	332	424	458	2014	10168	813	51	117	96	303
2016-06-28	3137	9193	12330	11083	23413	4627	3706	3070	2428	926	1238	526	161	625	1047	889	1002	1062	862	752	830	914	61	123	61	130	10	22	532	242	1795	2036	1663	1853	1745	17	970	90	9	255	392	259	288	710	816	4700	3280	3291	3307	2961	3279	3076	2797	44	27	33	58	10	68	12	2	333	415	283	2099	9659	1675	19	95	84	341
2016-07-28	3943	9513	13456	12875	26331	4794	4262	3596	2789	1070	1419	633	180	687	1431	1180	1228	1379	1218	935	1035	1227	8	185	8	111	1	19	536	100	2081	2295	2302	2133	2127	10	1317	84	17	297	395	315	452	621	731	2797	2494	2544	2479	2352	2812	2313	3135	26	23	44	66	15	81	10	3	293	387	386	1648	8572	904	19	105	85	342
2016-08-28	4078	8607	12685	11054	23739	5370	4371	3755	3061	985	1407	754	278	647	1355	1205	1283	1326	1200	1053	1116	1231	18	111	18	165	1	19	408	108	2027	2160	2124	2088	1903	9	2259	124	17	208	313	321	446	720	868	4217	3500	3307	3308	3106	3472	3382	3386	24	11	33	62	17	79	15	8	307	409	428	1303	7833	1021	3	90	74	357
2016-09-28	3559	8674	12233	11517	23750	4404	4226	3501	2811	956	1406	788	226	667	1378	1148	1353	1385	1340	1064	1266	1367	22	100	22	173	0	22	400	122	1993	2045	2065	1892	1730	61	2662	98	8	298	371	257	264	1106	1001	3858	3564	3475	3427	3327	3390	3359	3518	30	25	44	89	8	97	10	8	309	424	447	692	5838	854	0	84	73	339
2016-10-28	3893	9339	13232	10828	24060	4974	4479	3947	3187	999	1459	786	213	601	1274	1160	1285	1379	1188	1100	1213	1355	21	175	21	130	14	16	497	142	2157	2131	2210	1969	1947	19	3004	132	19	207	631	335	376	1160	925	3965	3774	3608	3656	3481	3636	3591	3601	23	15	38	84	7	91	12	2	329	434	511	1756	9837	899	1	79	66	349
2016-11-28	3913	8174	12087	13053	25140	5525	4223	3822	3444	1066	1485	1009	318	670	1497	1154	1276	1412	1397	1099	1207	1394	8	176	8	164	3	32	511	144	2139	2090	2223	1971	2049	37	3641	83	11	292	728	194	379	1258	1173	3602	3619	3606	3467	3508	3432	3308	3830	31	18	45	84	12	96	11	10	397	514	649	2834	15001	931	8	126	84	347
2016-12-28	3461	9218	12679	10887	23566	3977	3762	3508	3078	965	1428	1143	292	629	1398	1150	1240	1383	1310	1044	1113	1233	16	150	16	236	5	43	424	117	2118	2114	2170	1787	1886	39	3086	69	13	256	709	333	400	1069	1000	3317	3347	3439	3397	3446	3407	3366	3729	46	25	46	62	6	68	11	13	399	491	656	1829	13352	832	4	89	73	361
2017-01-28	3689	8513	12202	11174	23376	3863	3746	3348	2928	931	1366	963	314	560	1376	1138	1273	1392	1308	1061	1144	1279	27	134	27	158	4	32	538	162	1946	1864	1941	1815	2005	41	3066	99	16	169	741	358	370	1474	1107	3310	3387	3161	3114	2913	2995	2845	3668	35	13	27	60	10	70	9	2	473	554	553	2541	16242	1047	69	88	78	346
2017-02-28	3488	9067	12555	10777	23332	3814	3480	3179	2778	1111	1298	615	117	526	1209	1019	1114	1149	1156	979	1046	1142	8	181	8	339	4	38	564	143	2261	1995	1917	1700	1723	78	3180	108	13	340	1001	434	298	1040	1030	3419	3665	3511	3437	3286	3446	3209	3604	20	22	24	50	16	66	13	6	420	505	607	2671	16354	886	6	87	72	319
2017-03-28	3607	8483	12090	11600	23690	3808	3464	3094	2803	1039	1251	698	124	592	1221	1034	1120	1241	1122	1034	1034	1141	9	158	9	160	3	22	468	144	2282	2261	2241	1920	2037	40	3067	111	22	358	991	326	448	1127	978	3652	3669	3763	3630	4825	3467	3409	3349	22	17	42	45	13	58	7	4	358	427	587	2568	16613	852	1	87	73	321
2017-04-28	3995	9048	13043	10675	23718	3956	3511	2917	2721	961	1314	669	153	554	1161	1089	1104	1222	1063	1002	1035	1122	26	194	26	204	4	38	485	183	2021	2125	2144	1957	1982	52	3145	97	49	381	985	369	523	1146	904	3473	3458	3572	3540	3642	3090	3168	3553	21	26	28	37	11	48	7	1	317	373	612	2877	16345	844	0	89	72	320
2017-05-28	4222	8402	12624	11544	24168	4216	3501	2978	2577	911	1204	603	134	528	1034	1019	1110	1177	1060	992	1039	1124	15	125	15	161	5	29	617	262	2289	2135	2263	1941	1873	41	2816	112	39	467	1051	270	339	959	986	3503	3592	3515	3510	3480	4249	11261	3365	16	17	26	48	5	53	12	2	335	402	478	2631	16769	846	5	85	64	334
2017-06-28	3246	9883	13129	11331	24460	2956	2987	2635	2375	841	1158	533	502	446	924	943	950	1085	843	881	880	1021	22	77	22	300	2	25	310	87	1710	1875	1800	1638	1554	39	2312	35	17	414	941	181	169	930	885	2810	2850	3058	3007	2997	3239	2941	3044	29	12	21	32	11	43	10	5	306	364	367	2222	11548	858	11	86	73	327
