   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:36
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Azmiriganj	17653	7285	985	1668	492	140	117	2098	2215	12785	72.4240
Bahubal	30826	12772	2484	3158	1450	492	481	1969	2450	22806	73.9830
Madhabpur	55820	26750	3577	4554	2557	886	2128	3499	5627	43951	78.7370
Lakhai	25481	9963	2571	3455	526	62	100	1868	1968	18545	72.7797
Habiganj Sadar	53370	24200	4218	5952	1936	656	1584	3786	5370	42332	79.3180
Baniachhong	48905	19040	4852	5725	1657	104	1292	2742	4034	35412	72.4098
Chunarughat	54390	24101	3201	6437	2404	619	2421	3220	5641	42403	77.9610
Nabiganj	50160	18909	1945	7755	3749	1288	2339	2693	5032	38678	77.1093

 
