   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:05
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Fenchuganj	18173	7110	1658	2058	673	616	506	1687	2193	14308	78.7322
Gowainghat	52799	14293	3570	10893	3162	2273	1591	6146	7737	41928	79.4106
Jakiganj	35793	10448	2858	5321	2097	3004	1880	2528	4408	28136	78.6075
Jaintapur	29988	9773	1887	7145	968	1247	844	1858	2702	23722	79.1050
Balaganj	50436	14807	5080	8056	1469	3029	1121	6325	7446	39887	79.0844
Golapganj	47990	16476	6927	3568	1536	2603	1216	5557	6773	37883	78.9394
Sylhet Sadar	95175	35303	8509	12514	1842	6426	2176	8772	10948	75542	79.3717
Biani Bazar	35337	11246	4210	3311	2052	1215	1236	3350	4586	26620	75.3318
Kanaighat	47328	15115	3613	9068	1261	1945	2739	2257	4996	35998	76.0607
Biswanath	30801	10305	3565	3238	634	1479	735	4331	5066	24287	78.8513
Companiganj	27802	8968	1462	4717	824	1917	226	3075	3301	21189	76.2139
South Shurma	55698	19456	6310	7558	1402	2889	1315	4977	6292	43907	78.8305

 
