   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:59
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Katiadi	59421	22340	3880	9168	2681	3148	1685	5187	6872	48089	80.9293
Bhariab Bazar	55633	22496	2804	8613	2109	3335	906	4943	5849	45206	81.2575
Austagram	29250	10869	2035	4953	1136	1210	405	3186	3591	23794	81.3470
Kishoreganj Sadar	71020	31108	4571	9384	2357	3818	2630	4635	7265	58503	82.3754
Hossainpur	36795	15876	1993	4706	1552	2135	499	2453	2952	29214	79.3967
Nikli	26529	11101	1627	2975	1457	1353	207	3104	3311	21824	82.2647
Bazitpur	44210	19796	3455	4416	973	1578	1167	2895	4062	34280	77.5390
Pakundia	42252	17960	3034	5147	1634	2198	1732	2315	4047	34020	80.5169
Itna	32404	16902	2084	2584	653	959	716	2628	3344	26526	81.8603
Kuliarchar	33356	13478	1345	4351	1227	2329	1289	2512	3801	26531	79.5389
Tarail	28882	13370	1686	2469	829	1376	696	1885	2581	22311	77.2488
Karimganj	52769	23205	3100	5857	1895	3039	1335	3762	5097	42193	79.9579
Mithamoin	23632	10005	1547	2450	899	681	856	1864	2720	18302	77.4458

 
