   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:16
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Patuakhali Sadar	65001	22170	2868	11778	1520	2077	1159	3520	4679	45092	69.3712
Kalapara	44132	17781	705	6457	695	632	1156	2511	3667	29937	67.8351
Mirzaganj	23490	8885	797	2205	882	535	456	1241	1697	15001	63.8612
Golachipa	70131	31852	1702	9463	1358	1298	500	4166	4666	50339	71.7785
Bauphal	63594	24515	1410	11072	2003	1626	592	4184	4776	45402	71.3935
Dashmina	24061	8650	381	4742	825	992	230	1292	1522	17112	71.1192
Dumki	13189	4364	371	2672	457	276	197	771	968	9108	69.0575

 
