   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:41
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Fenchuganj	16417	5283	1363	1665	708	541	499	1444	1943	11503	70.0676
Gowainghat	46851	13290	3338	9034	2608	873	1455	4816	6271	35414	75.5886
Jakiganj	33020	9565	4081	4666	2039	1313	1647	1700	3347	25011	75.7450
Jaintapur	25684	8250	1948	5197	1020	521	698	1385	2083	19019	74.0500
Balaganj	48426	13557	4391	7332	1814	2361	1003	5124	6127	35582	73.4771
Golapganj	43668	14551	6504	3561	1329	1131	988	4367	5355	32431	74.2672
Sylhet Sadar	80910	28935	9329	9658	1806	2952	1595	5477	7072	59752	73.8500
Biani Bazar	33575	10057	3907	3431	2451	380	1113	2375	3488	23714	70.6299
Kanaighat	46136	12846	4246	8604	2627	771	2307	1455	3762	32856	71.2155
Biswanath	30530	11020	3617	2742	835	989	589	3644	4233	23436	76.7638
Companiganj	25793	8592	2005	5297	1030	860	154	2088	2242	20026	77.6412
South Shurma	47199	15733	4927	6734	1452	1649	1135	3793	4928	35423	75.0503

 
