   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:24
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Katiadi	54927	21188	2787	6247	1891	550	824	3093	3917	36580	66.5975
Bhariab Bazar	50325	15841	2482	6227	1182	312	477	1839	2316	28360	56.3537
Austagram	24025	9636	1379	2151	1014	43	19	1324	1343	15566	64.7908
Kishoreganj Sadar	59883	27582	2334	5675	1086	1293	1273	3034	4307	42277	70.5993
Hossainpur	36112	16352	1507	3871	1184	579	356	2513	2869	26362	73.0007
Nikli	25751	9419	1599	3196	1916	157	115	1746	1861	18148	70.4749
Bazitpur	42633	19472	2543	3655	1505	239	995	1977	2972	30386	71.2734
Pakundia	49718	19759	2980	4576	1454	570	961	2131	3092	32431	65.2299
Itna	30847	13116	1716	1809	788	50	408	1669	2077	19556	63.3968
Kuliarchar	34142	12747	1918	3629	1072	285	681	1773	2454	22105	64.7443
Tarail	28025	13806	1111	2421	677	322	333	1648	1981	20318	72.4996
Karimganj	53852	24150	2092	6287	1866	812	736	2558	3294	38501	71.4941
Mithamoin	21129	8358	1103	1711	799	13	338	966	1304	13288	62.8899

 
