   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:31
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Brahmanbaria Sadar	124443	35618	11862	21260	7093	1972	761	8640	9401	87206	70.0771
Nasirnagar	52465	18068	3015	5402	753	446	353	4380	4733	32417	61.7879
Nabinagar	81781	25772	8577	11938	2504	456	381	6168	6549	55796	68.2261
Kashba	59217	19508	5669	9402	3054	695	430	4073	4503	42831	72.3289
Sarail	48543	15009	4667	6798	1894	925	416	2791	3207	32500	66.9510
Bancharampur	53098	14904	2947	12000	2200	739	144	3881	4025	36815	69.3341
Akhaura	26496	9230	1721	4391	811	398	309	1943	2252	18803	70.9654
Ashuganj	26360	7624	3359	4255	1692	224	65	2227	2292	19446	73.7709

 
