   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:57
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Barisal Sadar	82006	30567	6955	13683	1455	3599	1514	3388	4902	61161	74.5811
Uzirpur	45886	19061	2248	5852	1116	2800	731	3644	4375	35452	77.2610
Bakerganj	63869	23940	3711	10324	2476	1745	1656	5440	7096	49292	77.1767
Babuganj	26123	10495	1283	3465	697	1193	608	1622	2230	19363	74.1224
Mehendiganj	49499	16326	4096	9056	1732	1748	2370	1647	4017	36975	74.6985
Gournadi	35513	14601	1875	5032	857	1430	442	3618	4060	27855	78.4361
Muladi	30427	9290	1999	6456	1248	714	473	1322	1795	21502	70.6675
Hizla	24840	7205	2077	7054	938	444	685	593	1278	18996	76.4734
Agailjhara	27889	11827	1516	2641	762	1176	393	3229	3622	21544	77.2491
Banaripara	28775	11203	1259	3062	1279	2092	525	1993	2518	21413	74.4153

 
