   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:50
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Sreemongal	62023	23057	3519	9091	2539	2745	2986	5788	8774	49725	80.1719
Barlekha	41970	15566	3127	5444	1895	1706	1218	4007	5225	32963	78.5394
Moulavi Bazar Sadar	52561	18560	4289	6770	2096	2141	3141	4586	7727	41583	79.1138
Kulaura	57649	20736	3375	11413	1983	2316	2490	4215	6705	46528	80.7091
Rajnagar	39970	13078	1943	5842	2230	2314	1954	4041	5995	31402	78.5639
Komolganj	44870	17430	2840	5449	2450	1226	3100	2855	5955	35350	78.7832
Juri	23891	8310	1693	1813	1502	967	1536	2579	4115	18400	77.0164

 
