   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:57
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Palong (Sadar)	41989	15777	4534	7312	1918	1403	647	1761	2408	33352	79.4303
Naria	41187	16890	3540	5559	1812	1397	694	2880	3574	32772	79.5688
Bhedarganj	42938	14512	3489	8921	1427	1596	1103	1970	3073	33018	76.8969
Damoddya	22895	7684	1973	4420	1516	759	607	1248	1855	18207	79.5239
Goshairhat	29053	10402	2557	5147	2194	852	613	746	1359	22511	77.4825
Janjira	34934	11770	3303	4644	1604	1306	568	2739	3307	25934	74.2371

 
