   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:59
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Langadu	15054	5165	1421	1936	454	1958	824	791	1615	12549	83.3599
Kawkhali	11763	4583	837	2144	481	978	248	695	943	9966	84.7233
Rangamati Sadar	19762	7293	1565	2897	1525	1856	587	858	1445	16581	83.9035
Baghaichhari	11625	5704	827	1420	627	577	53	569	622	9777	84.1032
Barkal	7249	3119	421	1267	390	321	294	266	560	6078	83.8460
Naniarchar	8992	3781	511	1232	330	728	421	541	962	7544	83.8968
Jurachhari	4337	1974	258	551	216	248	213	135	348	3595	82.8914
Kaptai	10845	3940	1005	2029	262	739	108	713	821	8796	81.1065
Rajasthali	4692	1969	125	646	163	576	178	156	334	3813	81.2660
Belaichhari	4843	2344	181	730	160	321	21	251	272	4008	82.7586

 
