   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:36
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Daulatpur	108488	37330	9214	15973	1238	849	324	20165	20489	85093	78.4354
Kushtia Sadar	103523	41808	7375	13053	1647	2222	926	11655	12581	78686	76.0082
Kumarkhali	72165	26400	7248	12633	1053	1284	1769	7384	9153	57771	80.0540
Bheramara	46036	16004	5011	6602	646	557	107	5883	5990	34810	75.6147
Mirpur	74749	27841	4525	12634	1398	969	730	9187	9917	57284	76.6351
Khoksa	29701	11675	3082	3201	631	435	776	1920	2696	21720	73.1289

 
