   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:39
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Sreemongal	57373	21981	3117	8615	2012	1756	2348	5499	7847	45328	79.0058
Barlekha	39876	15981	3841	4976	1716	857	881	3036	3917	31288	78.4632
Moulavi Bazar Sadar	48020	17768	4029	6445	1880	1302	2587	3710	6297	37721	78.5527
Kulaura	54669	21442	2980	11525	1223	1360	2056	3340	5396	43926	80.3490
Rajnagar	38297	13545	2161	6419	2092	1657	1340	3446	4786	30660	80.0585
Komolganj	42359	17602	2766	5274	1997	765	2637	2290	4927	33331	78.6869
Juri	22023	8697	1699	1970	1193	432	1419	2081	3500	17491	79.4215

 
