   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:25
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Bochaganj	34200	14769	1138	3668	256	724	1398	4419	5817	26372	77.1111
Kaharole	32946	13398	518	4011	433	458	1307	5031	6338	25156	76.3552
Fulbari	35158	15380	1340	1935	479	929	2385	4203	6588	26651	75.8035
Khanshama	35810	15959	431	4668	362	1029	1329	4386	5715	28164	78.6484
Dinajpur Sadar	92602	37535	6025	11580	1047	2038	5424	7672	13096	71321	77.0189
Hakimpur	18651	8336	1120	1727	254	452	1383	1060	2443	14332	76.8431
Birganj	63068	28695	1463	6463	524	1148	2670	7580	10250	48543	76.9693
Ghoraghat	24440	12236	1223	1547	583	359	1250	1602	2852	18800	76.9231
Birol	53788	25687	1340	3953	585	1067	2129	6300	8429	41061	76.3386
Chirir Bandar	59927	28506	975	5124	510	1046	2914	8244	11158	47319	78.9611
Parbatipur	77277	32048	3531	10775	698	1347	4110	8816	12926	61325	79.3574
Nawabganj	47002	22190	1058	4812	839	421	2587	2530	5117	34437	73.2671
Birampur	34798	15222	1162	2198	1210	715	3271	2689	5960	26467	76.0590

 
