   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:32
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Fenchuganj	13881	4895	1314	1730	602	272	269	1020	1289	10102	72.7757
Gowainghat	44236	12650	3649	8007	2374	370	1078	3446	4524	31574	71.3763
Jakiganj	30927	8683	3722	4134	1901	574	1169	1213	2382	21396	69.1823
Jaintapur	23916	7192	2302	4338	1082	202	513	906	1419	16535	69.1378
Balaganj	45126	12885	4380	7104	1835	1365	496	3487	3983	31552	69.9198
Golapganj	41362	13655	5564	3776	1236	932	658	3041	3699	28862	69.7790
Sylhet Sadar	78878	29794	9741	9482	1526	1982	789	4014	4803	57328	72.6793
Biani Bazar	30607	8504	3675	3306	2516	295	737	1507	2244	20540	67.1088
Kanaighat	43429	11702	4234	7270	2945	570	1755	1029	2784	29505	67.9385
Biswanath	29389	10640	2277	2826	871	573	216	2440	2656	19843	67.5185
Companiganj	24707	8060	2613	4352	779	417	76	1268	1344	17565	71.0932
South Shurma	46050	16457	4814	6449	1220	1101	551	2906	3457	33498	72.7427

 
