   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:38
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Sharasti	45365	15652	1666	9914	1511	365	363	3286	3649	32757	72.2076
Matlab (South)	40881	13209	2211	10036	664	348	393	2510	2903	29371	71.8451
Hajiganj	58815	22863	2067	12584	1669	681	458	3609	4067	43931	74.6935
Chandpur Sadar	68015	26345	2496	13858	1953	1621	921	4475	5396	51669	75.9671
Kachua	75764	27849	3929	15107	1600	1560	1084	4797	5881	55926	73.8161
Faridganj	79037	31324	4231	13511	1673	1361	512	5633	6145	58245	73.6933
Hemchar	18299	7176	545	3310	581	384	150	1574	1724	13720	74.9768
Motlab (North)	56227	20648	2775	9103	1271	820	263	6461	6724	41341	73.5252

 
