   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:47
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Langadu	16204	5800	1573	2280	183	1060	651	781	1432	12328	76.0800
Kawkhali	10924	3807	575	1842	343	766	145	640	785	8118	74.3134
Rangamati Sadar	18938	7223	1445	2720	1172	1160	484	825	1309	15029	79.3590
Baghaichhari	11538	5699	750	1282	435	229	31	530	561	8956	77.6218
Barkal	7008	2840	326	1089	257	84	156	267	423	5019	71.6182
Naniarchar	8764	3651	469	1039	317	621	348	533	881	6978	79.6212
Jurachhari	4131	2029	184	561	166	40	121	131	252	3232	78.2377
Kaptai	10661	3828	958	1919	280	476	75	792	867	8328	78.1165
Rajasthali	4605	1820	113	685	192	375	186	213	399	3584	77.8284
Belaichhari	4609	2007	91	712	150	214	32	228	260	3434	74.5064

 
