   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:38
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Senbag	50432	18477	4255	7570	1437	317	471	3953	4424	36480	72.3350
Begumganj	99907	38059	6315	16235	3432	741	745	8190	8935	73717	73.7856
Companiganj	44890	15620	3042	6430	2091	566	814	2654	3468	31217	69.5411
Sudharam (Sadar)	84189	28526	8631	16812	1807	1544	1020	6441	7461	64781	76.9471
Hatiya	59639	20555	2436	15153	888	114	1799	1542	3341	42487	71.2403
Chatkhil	42273	15748	2142	5596	1603	778	272	2979	3251	29118	68.8808
Subarna Char	33169	10399	3981	5435	549	928	829	2340	3169	24461	73.7466
Sonaimuri	57370	24024	4203	7485	1947	470	311	4947	5258	43387	75.6266
Kabirhat	28429	10340	1767	3941	731	250	200	2422	2622	19651	69.1231

 
