   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:29
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Langadu	13819	6141	1605	1442	186	173	136	770	906	10453	75.6422
Kawkhali	9238	2981	393	1238	297	544	39	718	757	6210	67.2223
Rangamati Sadar	16805	6484	1095	2426	843	566	48	1047	1095	12509	74.4362
Baghaichhari	11040	5388	514	832	379	1	24	436	460	7574	68.6051
Barkal	5545	2292	319	492	196	10	39	262	301	3610	65.1037
Naniarchar	7864	3172	350	735	279	281	67	723	790	5607	71.2996
Jurachhari	3610	1829	93	313	115	9	21	134	155	2514	69.6399
Kaptai	10910	3662	971	1609	308	225	6	694	700	7475	68.5151
Rajasthali	4295	1441	114	502	232	220	94	213	307	2816	65.5646
Belaichhari	3981	1783	94	385	212	59	2	230	232	2765	69.4549

 
