   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:45
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Faridpur Sadar	91155	31543	11711	12112	2485	1618	1694	9820	11514	70983	77.8707
Boalmari	53618	19866	4468	8318	3438	644	1294	4490	5784	42518	79.2980
Bhanga	52210	20090	4215	5153	3529	879	1185	6524	7709	41575	79.6303
Char Bhadrashion	13184	4078	1917	1561	690	594	152	1239	1391	10231	77.6016
Nagarkanda	36189	14636	3567	4592	1229	808	822	3048	3870	28702	79.3114
Sadarpur	33521	11285	3612	4126	973	629	215	3161	3376	24001	71.5999
Alphadanga	22141	8150	1959	3922	1002	251	632	1649	2281	17565	79.3325
Modhukhali	43002	17480	3150	5619	1176	993	917	4398	5315	33733	78.4452
Saltha	34322	13305	3494	5180	1246	498	686	2234	2920	26643	77.6266

 
