   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:59
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Azmiriganj	19951	9077	1120	1786	181	217	206	2432	2638	15019	75.2794
Bahubal	35262	15712	2765	4199	940	1071	1079	2514	3593	28280	80.1996
Madhabpur	63132	31185	3752	5040	1381	1565	2416	4239	6655	49578	78.5307
Lakhai	28890	12896	2093	3351	484	966	442	2545	2987	22777	78.8404
Habiganj Sadar	61711	24468	4808	8656	2381	2041	2433	5667	8100	50454	81.7585
Baniachhong	56943	24172	4331	8675	1120	1075	1835	4129	5964	45337	79.6182
Chunarughat	61359	27256	4139	7726	1885	707	3110	3581	6691	48404	78.8866
Nabiganj	59196	23185	3063	7939	3012	2273	3113	3815	6928	46400	78.3837

 
