   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:50
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Sharasti	47176	16866	1874	10871	1562	624	401	3669	4070	35867	76.0281
Matlab (South)	42457	14723	2713	9850	764	702	482	2823	3305	32057	75.5046
Hajiganj	61432	24446	2166	13068	1813	909	581	4256	4837	47239	76.8964
Chandpur Sadar	71873	28087	3070	14800	2484	2578	1159	4863	6022	57041	79.3636
Kachua	78411	27258	4153	15369	2079	1468	1372	5413	6785	57112	72.8367
Faridganj	81503	32161	4884	14335	2035	2135	641	6389	7030	62580	76.7824
Hemchar	18911	7727	649	3478	541	402	224	1565	1789	14586	77.1297
Motlab (North)	57266	22203	3425	9133	1263	1560	279	6190	6469	44053	76.9270

 
