   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:41
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Kazipur	56885	20892	3750	12393	1895	921	1312	2890	4202	44053	77.4422
Rayganj	66132	30779	2604	12274	2211	563	1882	2238	4120	52551	79.4638
Tarash	45213	21612	1632	6668	1080	718	1953	1273	3226	34936	77.2698
Sirajganj Sadar	106229	41726	12262	19350	2753	902	1932	2381	4313	81306	76.5384
Kamarkhand	28442	10640	1403	4692	792	615	557	1007	1564	19706	69.2849
Chouhali	16154	5350	1004	3327	831	496	324	496	820	11828	73.2203
Ullahpara	118669	48812	7630	22358	2254	1683	2921	4383	7304	90041	75.8758
Belkuchi	63219	26509	6094	8900	1746	337	1031	1198	2229	45815	72.4703
Shazadpur	110784	38064	6365	28218	3342	604	1280	3696	4976	81569	73.6289

 
