   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:40
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Faridpur Sadar	88891	31936	10884	11835	2612	1252	1213	9513	10726	69245	77.8988
Boalmari	52162	20009	4174	8239	3433	351	1217	4226	5443	41649	79.8455
Bhanga	50877	20465	4098	5126	3318	531	1114	6032	7146	40684	79.9654
Char Bhadrashion	12916	4079	1943	1612	698	429	131	1307	1438	10199	78.9641
Nagarkanda	68992	27091	6865	9350	2607	1109	1181	5096	6277	53299	77.2539
Sadarpur	33235	11465	3540	4284	1198	427	187	3087	3274	24188	72.7787
Alphadanga	22290	8296	1922	3958	991	202	604	1642	2246	17615	79.0265
Modhukhali	43100	17597	3076	5717	1486	762	870	4271	5141	33779	78.3735

 
