   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:40
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Naogaon Sadar	60589	26807	2754	6780	1768	1628	665	10271	10936	50673	83.6340
Mohadebpur	70245	35381	1940	5868	1262	1177	2345	9578	11923	57551	81.9290
Manda	90785	46036	1645	8248	2678	997	1832	12511	14343	73947	81.4529
Badalgachhi	46559	17385	1978	7451	954	408	1274	8776	10050	38226	82.1023
Rani Nagar	41290	19721	1897	3755	600	678	1592	4518	6110	32761	79.3437
Patnitola	54273	27228	2559	3253	1291	687	3191	5388	8579	43597	80.3291
Atrai	46293	20682	2633	2875	1754	510	2041	5743	7784	36238	78.2797
Dhamoirhat	40632	19414	1461	4264	871	123	2320	4031	6351	32484	79.9468
Niamatpur	56365	25408	2652	4300	1763	837	2525	7424	9949	44909	79.6753
Porsa	27989	13455	1422	2502	989	490	1681	1995	3676	22534	80.5102
Sapahar	36278	17243	1589	4136	245	463	2955	1722	4677	28353	78.1548

 
