   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:48
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Digholia	92068	33217	17330	12239	1989	2853	2735	3619	6354	73982	80.3558
Dumuria	64604	25039	3781	10311	1590	2915	3085	6418	9503	53139	82.2534
Khulna Sadar	93913	32463	19028	13952	2267	3243	3482	2835	6317	77270	82.2783
Dacope	30837	14645	1040	3510	290	824	658	2788	3446	23755	77.0341
Terokhada	25224	10129	2244	2461	1021	1449	923	1398	2321	19625	77.8029
Fultala	27632	9502	2914	4945	749	1056	1501	2223	3724	22890	82.8387
Batiaghata	37393	15131	2085	5217	1904	1199	1897	1811	3708	29244	78.2072
Paikgachha	56661	23112	1518	7915	1093	2890	1799	5891	7690	44218	78.0396
Rupsha	37043	14187	2255	4445	1246	1325	1839	2810	4649	28107	75.8767
Koyra	40105	20268	1294	3308	542	1311	1530	2782	4312	31035	77.3844

 
