   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:26
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Durgapur	42517	17559	2911	4495	387	995	508	5529	6037	32384	76.1672
Poba (Sadar)	67195	19955	5683	13385	948	1677	676	11662	12338	53986	80.3423
Mohanpur	40619	17136	1688	7104	591	1206	745	4171	4916	32641	80.3589
Puthiya	47885	18314	3409	6143	454	705	285	7953	8238	37263	77.8177
Bagmara	93828	42226	5489	12715	1509	1827	2804	9144	11948	75714	80.6945
Charghat	46364	18378	2877	7722	1117	872	320	5574	5894	36860	79.5013
Boalia	34625	10574	9370	2640	357	238	246	4514	4760	27939	80.6903
Tanore	42181	18577	1398	4097	636	1769	895	5579	6474	32951	78.1181
Godagari	64892	17763	4532	11352	1087	696	1796	11093	12889	48319	74.4606
Bagha	41585	14296	3258	9077	477	934	175	6578	6753	34795	83.6720

 
