   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:33
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Langadu	14991	6455	1565	2051	192	585	194	772	966	11814	78.8073
Kawkhali	9934	3770	545	1479	267	908	49	715	764	7733	77.8438
Rangamati Sadar	15614	5756	1173	2252	760	642	165	1009	1174	11757	75.2978
Baghaichhari	11180	5703	727	995	353	1	29	463	492	8271	73.9803
Barkal	6026	2538	347	761	193	19	64	251	315	4173	69.2499
Naniarchar	8048	3558	429	845	303	333	146	534	680	6148	76.3917
Jurachhari	3619	1917	107	405	123	6	42	134	176	2734	75.5457
Kaptai	10826	3664	750	1774	260	484	9	731	740	7672	70.8664
Rajasthali	4356	1531	107	621	229	240	108	234	342	3070	70.4775
Belaichhari	4197	1996	138	463	196	61	21	228	249	3103	73.9338

 
