   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:16
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Senbag	48646	16771	3067	5212	887	267	242	3467	3709	29913	61.4912
Begumganj	88817	32960	4813	9255	1818	387	538	5847	6385	55618	62.6209
Companiganj	42247	13923	2509	5485	1704	324	300	2093	2393	26338	62.3429
Sudharam (Sadar)	107890	32821	4524	19535	2350	578	1154	6428	7582	67390	62.4618
Hatiya	56930	18734	1713	7714	690	43	747	1591	2338	31232	54.8604
Chatkhil	41006	13510	1455	4907	1006	510	116	1935	2051	23439	57.1599
Subarna Char	29458	8075	2696	4413	485	302	471	1678	2149	18120	61.5113
Sonaimuri	51670	18830	3076	3714	1304	216	218	3320	3538	30678	59.3729

 
