   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:04
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Gopalganj Sadar	59541	21111	7415	6791	1966	2147	4264	5767	10031	49461	83.0705
Muksudpur	60286	26009	6290	7785	1330	1737	1099	4883	5982	49133	81.4999
Tungipara	20937	8244	2277	2344	748	842	480	1729	2209	16664	79.5912
Kotalipara	44522	19378	2310	4252	863	2638	249	5907	6156	35597	79.9537
Kasiani	43715	17267	4181	5465	1401	1867	549	4469	5018	35199	80.5193

 
