   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:05
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Bochaganj	35297	13837	1520	3686	788	2485	1965	4543	6508	28824	81.6613
Kaharole	34967	13994	703	3619	540	2358	1795	5262	7057	28271	80.8505
Fulbari	36711	15896	2140	1971	591	2432	3192	3592	6784	29814	81.2127
Khanshama	43009	16052	746	5986	580	4030	2256	5441	7697	35091	81.5899
Dinajpur Sadar	101244	38283	7795	15031	1352	4655	7768	8535	16303	83419	82.3940
Hakimpur	20782	8318	1771	2095	493	1180	2065	1179	3244	17101	82.2876
Birganj	70121	28895	1909	7613	816	5678	3312	9052	12364	57275	81.6802
Ghoraghat	25169	10106	1361	2431	926	1433	1914	1982	3896	20153	80.0707
Birol	55698	23489	1775	5098	1087	3926	2854	7458	10312	45687	82.0263
Chirir Bandar	65021	28380	2309	7100	726	3578	3914	7903	11817	53910	82.9117
Parbatipur	84798	30434	4538	12257	1684	3516	7863	8868	16731	69160	81.5585
Nawabganj	50540	20170	1845	6623	1212	2671	4984	3853	8837	41358	81.8322
Birampur	36095	15023	2056	2677	855	1791	4524	2779	7303	29705	82.2967

 
