   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:59
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Kutubdia	22397	6963	636	6972	333	999	240	623	863	16766	74.8582
Moheshkhali	56497	23470	1596	9940	2037	3113	2304	1697	4001	44157	78.1581
Coxs Bazar Sadar	80406	27753	6659	13865	2470	3506	2167	2973	5140	59393	73.8664
Ramu	44308	12248	2033	11574	2303	2404	2652	2220	4872	35434	79.9720
Chakaria	80069	30103	3997	20008	2476	3556	1572	3867	5439	65579	81.9031
Ukhiya	37359	15019	1738	7951	487	2046	726	919	1645	28886	77.3201
Teknaf	47495	14619	2518	14397	567	1116	1473	1113	2586	35803	75.3827
Pekua	31224	10353	673	8425	367	1408	574	912	1486	22712	72.7389

 
