   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:26
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Bagerhat Sadar	51910	22411	3659	8623	2248	1648	1727	3437	5164	43753	84.2863
Fakirhat	29290	12378	2013	4826	1659	334	382	2600	2982	24192	82.5947
Sarankhola	19895	7180	939	4367	915	182	994	680	1674	15257	76.6876
Morralganj	62524	26520	2531	8221	2890	512	2816	2984	5800	46474	74.3299
Kachua	19550	7823	1479	2493	1187	553	934	1166	2100	15635	79.9744
Mollahat	24287	10377	1553	3012	1737	267	514	1305	1819	18765	77.2636
Rampal	32782	15773	2140	2804	1166	475	1398	1768	3166	25524	77.8598
Chitalmari	24352	7877	1632	4515	1693	456	680	1535	2215	18388	75.5092
Mongla	29006	13365	2126	4011	626	602	1548	1415	2963	23693	81.6831

 
