   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:26
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Dighinala	14788	4871	1006	2683	1019	141	304	763	1067	10787	72.9443
Khagrachhari Sadar	15277	6103	371	2649	407	333	299	672	971	10834	70.9171
Mahalchhari	8009	2886	212	913	306	100	110	392	502	4919	61.4184
Panchhari	9637	5506	259	1080	205	115	170	218	388	7553	78.3750
Ramgarh	9670	4033	287	1210	517	122	20	351	371	6540	67.6319
Manikchhari	8541	2748	264	1653	378	118	90	685	775	5936	69.5001
Matiranga	16710	6911	642	3082	701	136	406	1156	1562	13034	78.0012
Lakshmichhari	3697	1422	56	357	155	7	13	195	208	2205	59.6430

 
