   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:31
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Adarsho Sadar	99803	34469	10326	19360	2736	2516	1364	5028	6392	75799	75.9486
Chouddagram	80606	27919	2894	15089	1685	1193	343	5744	6087	54867	68.0681
Barura	76657	31566	2994	13253	1638	763	883	4422	5305	55519	72.4252
Laksham	58705	23266	2746	10120	545	483	275	3618	3893	41053	69.9310
Burichong	54132	21959	3095	7213	1718	805	555	3853	4408	39198	72.4119
Brahmanpara	37001	12120	1927	5273	1242	953	408	3085	3493	25008	67.5874
Homna	36013	10531	2435	7130	2189	486	204	2272	2476	25247	70.1052
Muradnagar	101565	35818	7581	15131	3792	532	727	7368	8095	70949	69.8558
Debidwar	85378	32651	5212	12131	2465	843	696	5473	6169	59471	69.6561
Daudkandi	64572	20524	4170	11813	2696	1170	411	5262	5673	46046	71.3095
Chandina	69847	25816	3437	12072	1948	493	1587	3596	5183	48949	70.0803
Nangolkot	68913	19277	5394	13033	1509	1026	224	6171	6395	46634	67.6708
Meghna	19550	5377	910	4204	581	168	79	1637	1716	12956	66.2711
Titash	34343	8382	2886	6844	1247	513	249	2761	3010	22882	66.6278
Comilla Sadar South	72694	29596	3296	11117	1377	633	773	4991	5764	51783	71.2342
Monohargonj	43207	15934	2750	5915	689	310	258	3149	3407	29005	67.1303

 
