   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:29
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Kazipur	53091	19987	2859	10313	1783	582	1137	2737	3874	39398	74.2084
Rayganj	65080	31097	2249	10090	2010	559	1442	1965	3407	49412	75.9250
Tarash	43575	21353	1354	5802	944	639	1474	1066	2540	32632	74.8870
Sirajganj Sadar	86385	33696	6744	15347	2202	536	1395	1963	3358	61883	71.6363
Kamarkhand	27173	11260	1287	4692	1053	320	321	878	1199	19811	72.9069
Chouhali	21293	9697	1313	3520	755	355	267	396	663	16303	76.5651
Ullahpara	120112	50319	6501	23179	2703	1389	2205	4077	6282	90373	75.2406
Belkuchi	58031	27056	4583	5508	1756	243	707	1000	1707	40853	70.3986
Shazadpur	115989	43296	7137	23412	2990	800	566	2888	3454	81089	69.9109

 
