   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:04
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Katiadi	60039	22657	3578	9353	2748	3341	1696	5348	7044	48721	81.1489
Bhariab Bazar	56004	22028	2653	8765	2228	3552	921	5248	6169	45395	81.0567
Austagram	29458	10730	1968	4970	1103	1251	412	3331	3743	23765	80.6742
Kishoreganj Sadar	71778	30654	4465	9677	2676	4345	2619	4905	7524	59341	82.6730
Hossainpur	37906	14454	2782	5515	1647	2379	508	2550	3058	29835	78.7079
Nikli	26798	11167	1579	2856	1398	1637	206	3256	3462	22099	82.4651
Bazitpur	44599	20486	3525	4525	1039	1855	1181	3066	4247	35677	79.9951
Pakundia	44095	18600	3124	5297	1662	2443	1745	2456	4201	35327	80.1157
Itna	32688	16146	2257	2447	589	1466	772	2859	3631	26536	81.1796
Kuliarchar	33705	13490	1372	4361	1286	2395	1352	2629	3981	26885	79.7656
Tarail	29183	13241	1970	2668	983	1668	728	2094	2822	23352	80.0192
Karimganj	53609	23256	3149	5976	1805	3329	1360	3954	5314	42829	79.8914
Mithamoin	23850	9738	1526	2431	928	1047	863	1987	2850	18520	77.6520

 
