   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:04
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Langadu	15247	5030	1313	1835	644	2262	847	792	1639	12723	83.4459
Kawkhali	12024	4693	782	2153	522	1168	251	702	953	10271	85.4208
Rangamati Sadar	19950	7226	1488	2821	1667	2061	609	881	1490	16753	83.9749
Baghaichhari	11690	5590	792	1333	681	683	56	569	625	9704	83.0111
Barkal	7338	3066	348	1243	414	441	320	256	576	6088	82.9654
Naniarchar	9140	3641	454	1320	357	883	437	543	980	7635	83.5339
Jurachhari	4422	1897	264	557	255	357	218	140	358	3688	83.4012
Kaptai	11100	4048	1089	2051	243	909	107	693	800	9140	82.3423
Rajasthali	4717	1969	113	650	158	699	183	156	339	3928	83.2733
Belaichhari	4966	2425	160	702	161	457	20	247	267	4172	84.0113

 
