   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 12:36
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Faridpur Sadar	87373	31288	10476	11482	2613	1124	894	9670	10564	67547	77.3088
Boalmari	50662	18571	3704	7805	3378	239	1153	3967	5120	38817	76.6196
Bhanga	50045	20129	3945	5139	3020	394	1004	5471	6475	39102	78.1337
Char Bhadrashion	12770	3862	1837	1584	643	364	121	1149	1270	9560	74.8630
Nagarkanda	66728	27470	6255	8979	2751	844	997	4635	5632	51931	77.8249
Sadarpur	32684	11152	3491	3980	1192	397	167	2899	3066	23278	71.2214
Alphadanga	21301	7733	1699	3679	947	159	556	1493	2049	16266	76.3626
Modhukhali	42063	16917	2898	5362	1395	533	810	4067	4877	31982	76.0336

 
