   Dump For Table thana from Database dgfpmis_ss8 on 10-22-2018 13:05
thana	ECouple	Pill	Condom	Injectable	IUD	Implant	PerMale	PerFemale	Tpermanent	GrandTotal	CAR	
Gangachara	68605	21610	1657	14641	1289	4210	5907	4345	10252	53659	78.2144
Pirganj	95382	40746	3897	13196	3947	4113	4585	5826	10411	76310	80.0046
Pirgachha	74736	27343	2986	15509	3145	3470	3360	4161	7521	59974	80.2478
Badarganj	66330	22471	2104	8279	485	2686	9468	4286	13754	49779	75.0475
Mithapukur	116088	47942	5117	17779	2707	6064	4039	5747	9786	89395	77.0062
Kaunia	49244	16900	2061	10230	668	2695	2923	2829	5752	38306	77.7882
Rangpur Sadar	137225	49683	8790	25025	1474	6773	5447	8367	13814	105559	76.9240
Taraganj	35465	13050	937	5018	471	2520	2432	2982	5414	27410	77.2875

 
