   Dump For Table car_details from Database dgfpmis_ss8 on 10-25-2018 07:32
Dist_Name	MonthYear	EC	Pill	Con	Inj	IUD	Imp	PerM	PerF	TPer	TUser	CAR	
Jhenaidaha	July 2007	34486	12672	2911	4633	500	104	84	1652	1736	22556	65.4063
Jhenaidaha	August 2007	34495	12779	2775	4705	271	104	84	1658	1742	22376	64.8674
Jhenaidaha	September 2007	34506	12669	2708	4762	272	104	83	1660	1743	22258	64.5047
Jhenaidaha	October 2007	34518	12866	2971	4994	273	104	83	1663	1746	22954	66.4986
Jhenaidaha	November 2007	34528	7473	3019	5072	298	158	83	1675	1758	17778	51.4886
Jhenaidaha	December 2007	34539	12913	3051	5157	296	172	83	1677	1760	23349	67.6018
Jhenaidaha	January 2008	34549	13022	2998	5326	304	194	83	1682	1765	23609	68.3348
Jhenaidaha	February 2008	34559	13076	3029	5402	313	208	83	1684	1767	23795	68.8533
Jhenaidaha	March 2008	34573	13150	3071	5553	320	209	83	1688	1771	24074	69.6324
Jhenaidaha	April 2008	34587	13197	3045	5762	329	211	83	1689	1772	24316	70.3039
Jhenaidaha	May 2008	34587	13217	3047	5607	329	211	83	1689	1772	24183	69.9193
Jhenaidaha	June 2008	34610	13314	3106	5824	344	218	83	1696	1779	24585	71.0344
Jhenaidaha	July 2008	34620	13397	3154	5749	356	223	85	1703	1788	24667	71.2507
Jhenaidaha	August 2008	34630	13475	3195	5982	360	222	84	1707	1791	25025	72.2639
Jhenaidaha	September 2008	34642	13556	3227	6115	377	222	84	1707	1791	25288	72.9981
Jhenaidaha	October 2008	34657	13640	3261	6245	387	229	84	1717	1801	25563	73.7600
Jhenaidaha	November 2008	34671	13973	3459	6879	438	233	84	9726	9810	34792	100.3490
Jhenaidaha	December 2008	34682	14028	3524	7024	445	235	84	1733	1817	27073	78.0607
Jhenaidaha	January 2009	34697	13970	3489	6988	450	241	84	1747	1831	26969	77.7272
Jhenaidaha	September 2009	13883	5039	853	3111	399	169	28	1042	1070	10641	76.6477
Jhenaidaha	December 2009	30180	12320	3185	6550	462	191	88	1597	1685	24393	80.8250
Jhenaidaha	January 2010	30192	12335	3197	6560	470	190	88	1607	1695	24447	80.9718
Jhenaidaha	February 2010	30202	12327	3196	6574	483	190	90	1613	1703	24473	81.0311
Jhenaidaha	March 2010	30215	12343	3206	6584	499	190	97	1623	1720	24542	81.2246
Jhenaidaha	April 2010	30232	12359	3220	6596	507	190	100	1626	1726	24598	81.3641
Jhenaidaha	May 2010	30242	12370	3230	6607	511	190	105	1636	1741	24649	81.5059
Jhenaidaha	June 2010	30253	12380	3239	6616	511	190	105	1641	1746	24682	81.5853
