DistrictCode,DistrictName,DivisionCode,DivisionName,FuzzRatio,Geo,Survey.Units,BCG_Children12M,OPV1_Children12M,DPT1_Children12M,HB1_Children12M,OPV2_Children12M,DPT2_Children12M,HB2_Children12M,OPV3_Children12M,DPT3_Children12M,HB3_Children12M,Measles_Children12M,Fully_Children12M,BCG_Children23M,OPV1_Children23M,DPT1_Children23M,HB1_Children23M,OPV2_Children23M,DPT2_Children23M,HB2_Children23M,OPV3_Children23M,DPT3_Children23M,HB3_Children23M,Measles_Children23M,Fully_Children23M,TT1_Mother0-11MChildren,TT2_Mother0-11MChildren,TT3_Mother0-11MChildren,TT4_Mother0-11MChildren,TT5_Mother0-11MChildren,TT1_Woman18-49Y,TT2_Woman18-49Y,TT3_Woman18-49Y,TT4_Woman18-49Y,TT5_Woman18-49Y,PAB_Mother0-11MChildren,OPVCoverage_18NID_Children0-5M,OPVCoverage_MeaslesCampaign_Children0-5M,OPVCoverage_Both_Children0-5M,VitACoverage_PostPartum,VitACoverage_Children12-59M,VitACoverage_Infants9-11M,AnthelminticCoverage_Children24-59M,MeaslesCoverage_Children9-59M,Year
51,Lakshmipur ,20,Chittagong,95,Lakshmipur,Lakshmipur,97.1,96.7,96.7,96.7,95.7,95.7,95.7,91.3,87.5,87.5,83.4,79.3,97.1,96.7,96.7,96.7,95.7,95.7,95.7,91.3,87.5,87.5,84.3,80.1,93.8,92.4,72.9,45.2,28.1,89.0,86.7,70.0,42.4,24.3,88.6,95.7,81.0,79.0,18.6,94.3,87.6,92.4,79.0,2010
52,Lalmonirhat ,55,Rangpur,96,Lalmonirhat,Lalmonirhat,99.1,98.2,98.2,98.2,96.9,96.9,96.9,92.7,88.2,88.2,87.3,82.6,100.0,100.0,100.0,100.0,98.6,98.6,98.6,95.4,90.9,90.9,92.9,88.2,98.1,97.6,89.5,64.8,46.2,96.2,91.4,74.3,53.3,30.5,95.7,99.0,96.7,96.7,50.0,99.0,94.8,99.0,95.7,2010
54,Madaripur ,30,Dhaka,95,Madaripur,Madaripur,99.0,99.0,99.0,99.0,98.1,98.1,98.1,94.3,88.3,88.3,78.0,72.3,99.0,99.0,99.0,99.0,98.1,98.1,98.1,95.1,88.3,88.3,83.0,76.4,97.6,96.7,82.4,56.2,30.0,92.9,89.0,75.7,46.7,31.4,90.0,98.6,95.2,94.8,11.0,99.0,89.5,99.0,94.3,2010
55,Magura ,40,Khulna,92,Magura,Magura,99.4,99.4,99.4,99.4,97.5,97.5,97.5,95.2,92.7,92.7,86.3,83.7,100.0,100.0,100.0,100.0,100.0,99.4,99.4,97.7,94.6,94.6,91.4,87.6,99.5,99.5,91.0,71.4,44.3,99.0,98.1,84.8,59.0,32.4,94.3,99.0,94.8,94.3,20.5,99.0,95.2,95.7,94.3,2010
56,Manikganj ,30,Dhaka,95,Manikganj,Manikganj,98.6,97.8,97.8,97.8,95.4,95.4,95.4,87.9,86.3,86.3,76.8,75.0,98.6,97.8,97.8,97.8,95.4,95.4,95.4,88.7,87.1,87.1,80.3,78.5,95.2,93.3,80.5,56.7,36.2,88.1,85.2,67.1,46.7,27.1,86.2,97.6,100.0,97.6,21.4,97.6,83.8,97.6,98.1,2010
57,Meherpur ,40,Khulna,94,Meherpur,Meherpur,100.0,99.3,99.3,99.3,98.6,98.6,98.6,96.9,90.3,90.3,89.8,82.6,100.0,99.3,99.3,99.3,98.6,98.6,98.6,97.6,90.3,90.3,91.4,83.4,97.6,95.2,80.5,50.5,18.1,88.6,82.9,59.0,32.9,11.4,88.6,99.0,97.6,97.1,27.6,96.7,96.2,81.4,86.2,2010
58,Maulvibazar ,60,Sylhet,83,Moulavibazar,Moulavibazar,95.7,95.2,95.2,95.2,94.3,94.3,94.3,90.7,85.7,85.7,79.3,73.7,95.7,95.2,95.2,95.2,94.3,94.3,94.3,90.7,85.7,85.7,82.4,76.8,93.8,90.0,77.6,57.6,41.0,81.0,78.1,62.9,47.1,30.5,89.0,95.7,93.8,93.8,46.2,95.7,84.8,94.8,89.5,2010
59,Munshiganj ,30,Dhaka,95,Munshiganj,Munshiganj,100.0,100.0,100.0,100.0,99.3,98.6,98.6,95.9,93.0,93.0,87.4,83.7,100.0,100.0,100.0,100.0,99.3,98.6,98.6,96.6,93.0,93.0,91.8,87.4,98.6,98.6,92.4,74.3,53.8,97.1,96.2,87.6,71.9,45.7,95.2,98.6,95.2,93.8,21.9,100.0,94.8,99.5,92.9,2010
61,Mymensingh ,30,Dhaka,95,Mymensingh,Mymensingh,99.0,99.0,99.0,99.0,96.2,96.2,96.2,91.1,86.6,86.6,84.0,79.3,99.0,99.0,99.0,99.0,96.2,96.2,96.2,91.9,87.4,87.4,86.3,81.6,97.6,95.7,78.6,52.9,29.0,91.0,87.6,65.7,43.3,23.3,93.3,98.6,95.7,95.2,48.1,98.6,88.6,96.7,85.7,2010
64,Naogaon ,50,Rajshahi,93,Naogaon,Naogaon,100.0,100.0,100.0,100.0,99.0,99.0,99.0,98.5,94.7,94.7,92.8,88.8,100.0,100.0,100.0,100.0,99.0,99.0,99.0,98.5,94.7,94.7,97.4,93.4,99.0,98.6,91.4,75.2,54.8,100.0,99.0,93.3,81.4,50.5,98.6,100.0,99.5,99.5,15.7,100.0,98.6,99.5,99.5,2010
65,Narail ,40,Khulna,92,Narail,Narail,98.2,98.2,98.2,98.2,95.1,95.1,95.1,92.5,90.3,90.3,84.0,81.6,99.5,99.5,99.5,99.5,97.9,97.9,97.9,94.7,92.5,92.5,89.5,87.2,97.1,94.8,80.0,56.7,38.6,93.8,90.0,74.3,54.3,32.9,90.5,99.0,99.0,98.1,14.3,98.1,96.7,99.0,97.1,2010
67,Narayanganj ,30,Dhaka,96,Narayanganj,Narayanganj,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.0,93.6,93.6,91.0,85.6,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.0,93.6,93.6,94.2,88.7,95.2,93.8,79.0,60.0,41.4,93.8,89.5,72.9,47.6,26.7,92.4,94.8,84.3,83.8,29.0,95.2,95.7,95.2,75.2,2010
69,Natore ,50,Rajshahi,92,Natore,Natore,99.0,99.0,99.0,99.0,99.0,99.0,99.0,96.5,92.7,92.7,90.1,86.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.1,92.7,92.7,94.9,90.1,97.6,96.7,85.7,66.2,45.2,92.9,91.0,80.5,57.1,33.8,95.7,94.8,94.8,92.9,29.0,94.3,97.6,92.9,88.6,2010
72,Netrakona ,30,Dhaka,56,National,National,98.6,98.4,98.4,98.4,97.1,97.0,97.0,93.6,88.7,88.7,84.8,79.4,98.9,98.7,98.7,98.7,97.6,97.5,97.5,94.7,89.4,89.4,89.2,83.4,96.9,95.3,82.0,60.7,38.9,92.0,89.0,75.5,53.4,33.0,91.9,96.6,92.7,91.2,38.5,95.9,93.2,92.0,88.2,2010
72,Netrakona ,30,Dhaka,56,National,National,98.6,98.4,98.4,98.4,97.1,97.0,97.0,93.6,88.7,88.7,84.8,79.4,98.9,98.7,98.7,98.7,97.6,97.5,97.5,94.7,89.4,89.4,89.2,83.4,96.9,95.3,82.0,60.7,38.9,92.0,89.0,75.5,53.4,33.0,91.9,96.6,92.7,91.2,38.5,95.9,93.2,92.0,88.2,2010
72,Netrakona ,30,Dhaka,56,National,National,98.6,98.4,98.4,98.4,97.1,97.0,97.0,93.6,88.7,88.7,84.8,79.4,98.9,98.7,98.7,98.7,97.6,97.5,97.5,94.7,89.4,89.4,89.2,83.4,96.9,95.3,82.0,60.7,38.9,92.0,89.0,75.5,53.4,33.0,91.9,96.6,92.7,91.2,38.5,95.9,93.2,92.0,88.2,2010
72,Netrakona ,30,Dhaka,56,National,National,98.6,98.4,98.4,98.4,97.1,97.0,97.0,93.6,88.7,88.7,84.8,79.4,98.9,98.7,98.7,98.7,97.6,97.5,97.5,94.7,89.4,89.4,89.2,83.4,96.9,95.3,82.0,60.7,38.9,92.0,89.0,75.5,53.4,33.0,91.9,96.6,92.7,91.2,38.5,95.9,93.2,92.0,88.2,2010
72,Netrakona ,30,Dhaka,56,National,National,98.6,98.4,98.4,98.4,97.1,97.0,97.0,93.6,88.7,88.7,84.8,79.4,98.9,98.7,98.7,98.7,97.6,97.5,97.5,94.7,89.4,89.4,89.2,83.4,96.9,95.3,82.0,60.7,38.9,92.0,89.0,75.5,53.4,33.0,91.9,96.6,92.7,91.2,38.5,95.9,93.2,92.0,88.2,2010
72,Netrakona ,30,Dhaka,56,National,National,98.6,98.4,98.4,98.4,97.1,97.0,97.0,93.6,88.7,88.7,84.8,79.4,98.9,98.7,98.7,98.7,97.6,97.5,97.5,94.7,89.4,89.4,89.2,83.4,96.9,95.3,82.0,60.7,38.9,92.0,89.0,75.5,53.4,33.0,91.9,96.6,92.7,91.2,38.5,95.9,93.2,92.0,88.2,2010
72,Netrakona ,30,Dhaka,56,National,National,98.6,98.4,98.4,98.4,97.1,97.0,97.0,93.6,88.7,88.7,84.8,79.4,98.9,98.7,98.7,98.7,97.6,97.5,97.5,94.7,89.4,89.4,89.2,83.4,96.9,95.3,82.0,60.7,38.9,92.0,89.0,75.5,53.4,33.0,91.9,96.6,92.7,91.2,38.5,95.9,93.2,92.0,88.2,2010
72,Netrakona ,30,Dhaka,56,National,National,98.6,98.4,98.4,98.4,97.1,97.0,97.0,93.6,88.7,88.7,84.8,79.4,98.9,98.7,98.7,98.7,97.6,97.5,97.5,94.7,89.4,89.4,89.2,83.4,96.9,95.3,82.0,60.7,38.9,92.0,89.0,75.5,53.4,33.0,91.9,96.6,92.7,91.2,38.5,95.9,93.2,92.0,88.2,2010
72,Netrakona ,30,Dhaka,56,National,National,98.6,98.4,98.4,98.4,97.1,97.0,97.0,93.6,88.7,88.7,84.8,79.4,98.9,98.7,98.7,98.7,97.6,97.5,97.5,94.7,89.4,89.4,89.2,83.4,96.9,95.3,82.0,60.7,38.9,92.0,89.0,75.5,53.4,33.0,91.9,96.6,92.7,91.2,38.5,95.9,93.2,92.0,88.2,2010
72,Netrakona ,30,Dhaka,56,National,National,98.6,98.4,98.4,98.4,97.1,97.0,97.0,93.6,88.7,88.7,84.8,79.4,98.9,98.7,98.7,98.7,97.6,97.5,97.5,94.7,89.4,89.4,89.2,83.4,96.9,95.3,82.0,60.7,38.9,92.0,89.0,75.5,53.4,33.0,91.9,96.6,92.7,91.2,38.5,95.9,93.2,92.0,88.2,2010
72,Netrakona ,30,Dhaka,56,National,National,98.6,98.4,98.4,98.4,97.1,97.0,97.0,93.6,88.7,88.7,84.8,79.4,98.9,98.7,98.7,98.7,97.6,97.5,97.5,94.7,89.4,89.4,89.2,83.4,96.9,95.3,82.0,60.7,38.9,92.0,89.0,75.5,53.4,33.0,91.9,96.6,92.7,91.2,38.5,95.9,93.2,92.0,88.2,2010
72,Netrakona ,30,Dhaka,56,National,National,98.6,98.4,98.4,98.4,97.1,97.0,97.0,93.6,88.7,88.7,84.8,79.4,98.9,98.7,98.7,98.7,97.6,97.5,97.5,94.7,89.4,89.4,89.2,83.4,96.9,95.3,82.0,60.7,38.9,92.0,89.0,75.5,53.4,33.0,91.9,96.6,92.7,91.2,38.5,95.9,93.2,92.0,88.2,2010
72,Netrakona ,30,Dhaka,56,National,National,98.6,98.4,98.4,98.4,97.1,97.0,97.0,93.6,88.7,88.7,84.8,79.4,98.9,98.7,98.7,98.7,97.6,97.5,97.5,94.7,89.4,89.4,89.2,83.4,96.9,95.3,82.0,60.7,38.9,92.0,89.0,75.5,53.4,33.0,91.9,96.6,92.7,91.2,38.5,95.9,93.2,92.0,88.2,2010
72,Netrakona ,30,Dhaka,56,National,National,98.6,98.4,98.4,98.4,97.1,97.0,97.0,93.6,88.7,88.7,84.8,79.4,98.9,98.7,98.7,98.7,97.6,97.5,97.5,94.7,89.4,89.4,89.2,83.4,96.9,95.3,82.0,60.7,38.9,92.0,89.0,75.5,53.4,33.0,91.9,96.6,92.7,91.2,38.5,95.9,93.2,92.0,88.2,2010
72,Netrakona ,30,Dhaka,56,National,National,98.6,98.4,98.4,98.4,97.1,97.0,97.0,93.6,88.7,88.7,84.8,79.4,98.9,98.7,98.7,98.7,97.6,97.5,97.5,94.7,89.4,89.4,89.2,83.4,96.9,95.3,82.0,60.7,38.9,92.0,89.0,75.5,53.4,33.0,91.9,96.6,92.7,91.2,38.5,95.9,93.2,92.0,88.2,2010
72,Netrakona ,30,Dhaka,56,National,National,98.6,98.4,98.4,98.4,97.1,97.0,97.0,93.6,88.7,88.7,84.8,79.4,98.9,98.7,98.7,98.7,97.6,97.5,97.5,94.7,89.4,89.4,89.2,83.4,96.9,95.3,82.0,60.7,38.9,92.0,89.0,75.5,53.4,33.0,91.9,96.6,92.7,91.2,38.5,95.9,93.2,92.0,88.2,2010
72,Netrakona ,30,Dhaka,84,Netrokona,Netrokona,98.2,98.2,98.2,98.2,95.1,93.3,93.3,85.4,83.6,83.6,80.0,76.2,99.0,99.0,99.0,99.0,95.9,94.2,94.2,86.2,84.5,84.5,83.8,80.0,98.1,96.7,83.8,61.4,39.5,92.9,89.0,79.0,59.5,32.9,88.6,99.5,92.4,92.4,28.6,99.5,91.4,99.0,80.5,2010
73,Nilphamari ,55,Rangpur,95,Nilphamari,Nilphamari,98.9,98.3,98.3,98.3,97.9,97.9,97.9,95.4,89.3,89.3,79.8,73.4,99.5,98.9,98.9,98.9,98.5,98.5,98.5,96.1,89.9,90.3,88.1,81.7,98.6,97.6,79.0,57.1,31.0,92.4,89.5,74.3,52.9,29.0,92.9,98.1,96.7,95.7,63.8,97.1,91.9,92.4,95.7,2010
75,Noakhali ,20,Chittagong,94,Noakhali,Noakhali,96.7,96.2,96.2,96.2,93.6,93.6,93.6,87.7,78.8,78.8,73.5,63.9,96.7,96.2,96.2,96.2,94.3,94.3,94.3,89.0,79.4,79.4,79.0,68.7,95.7,93.3,72.4,49.0,27.1,85.7,78.6,63.3,42.9,28.1,85.7,96.2,82.9,81.4,16.7,95.7,83.8,92.4,78.6,2010
68,Narsingdi ,30,Dhaka,80,Norsingdhi,Norsingdhi,99.3,99.3,99.3,99.3,97.9,97.9,97.9,94.3,90.9,90.9,83.3,79.7,100.0,100.0,100.0,100.0,99.3,99.3,99.3,95.7,92.3,92.3,87.6,84.0,98.1,96.2,86.2,64.3,39.5,90.0,87.1,74.8,47.6,23.8,86.7,93.3,91.9,89.5,39.0,93.3,91.9,90.0,86.2,2010
76,Pabna ,50,Rajshahi,91,Pabna,Pabna,99.3,98.6,98.6,98.6,97.6,97.6,97.6,93.4,92.0,92.0,85.0,83.5,100.0,100.0,100.0,100.0,99.0,99.0,99.0,95.5,93.4,93.4,88.1,85.8,99.5,99.0,87.1,68.6,41.0,99.5,98.6,88.6,70.5,53.3,99.5,97.1,96.7,95.2,39.5,94.8,95.7,93.8,93.3,2010
77,Panchagarh ,55,Rangpur,95,Panchagarh,Panchagarh,100.0,100.0,100.0,100.0,97.6,97.6,97.6,93.4,88.4,88.4,84.8,79.4,100.0,100.0,100.0,100.0,99.4,99.4,99.4,96.5,91.5,91.5,91.5,86.1,98.1,97.1,84.3,71.0,49.5,88.1,82.4,72.9,55.7,31.9,98.1,98.6,94.8,93.3,26.2,93.3,96.2,86.7,87.6,2010
78,Patuakhali ,10,Barisal,95,Patuakhali,Patuakhali,99.5,98.9,98.9,98.9,97.5,97.5,97.5,95.7,87.7,87.7,88.9,80.6,99.5,99.5,99.5,99.5,98.9,98.9,98.9,97.0,89.0,89.0,93.7,85.4,98.6,98.1,73.8,41.9,22.9,93.3,92.9,81.9,48.1,30.5,96.2,96.7,94.3,93.8,69.0,94.3,97.1,91.9,93.8,2010
