DistrictCode,DistrictName,DivisionCode,DivisionName,FuzzRatio,Geo,Survey.Units,BCG_Children12M,OPV1_Children12M,PENTA1_Children12M,OPV2_Children12M,PENTA2_Children12M,OPV3_Children12M,PENTA3_Children12M,Measles_Children12M,Fully_Children12M,BCG_Children23M,OPV1_Children23M,PENTA1_Children23M,OPV2_Children23M,PENTA2_Children23M,OPV3_Children23M,PENTA3_Children23M,Measles_Children23M,Fully_Children23M,InvalidPENTA1_Infant12M,InvalidPENTA2_Infant12M,InvalidPENTA3_Infant12M,InvalidMeasles_Infant12M,DropoutPENTA1-PENTA3_Children23M,DropoutPENTA1-Measles_Children23M,TT1_Mother0-11MChildren,TT2_Mother0-11MChildren,TT3_Mother0-11MChildren,TT4_Mother0-11MChildren,TT5_Mother0-11MChildren,TT1_Woman18-49Y,TT2_Woman18-49Y,TT3_Woman18-49Y,TT4_Woman18-49Y,TT5_Woman18-49Y,PAB_Mother0-11MChildren,OPVCoverage_1stRound_Children59M,OPVCoverage_2stRound_Children59M,OPVCoverage_All_Children59M,VitACoverage_Infants6-11M,VitACoverage_Children12-59M,VitACoverage_PostPartum,AnthelminticCoverage_Children24-59M,Year
78,Patuakhali ,10,Barisal,95,Patuakhali,Patuakhali,99.5,96.6,88.0,94.9,91.8,88.3,91.4,80.2,72.1,99.5,96.6,88.0,94.9,91.8,88.3,91.4,82.7,74.6,8.7,11.9,15.0,5.1,3.4,11.5,99.5,97.1,76.7,46.7,22.9,89.5,81.9,57.1,31.9,15.2,94.3,98.6,98.6,98.6,88.6,95.2,64.3,95.7,2013
79,Pirojpur ,10,Barisal,82,Perojpur,Perojpur,99.5,98.0,93.1,98.0,98.0,95.0,95.5,88.9,84.6,99.5,98.0,93.1,98.0,98.0,95.0,95.5,92.6,88.3,5.4,5.4,6.6,2.4,1.4,4.3,98.6,95.7,84.3,63.3,42.9,89.5,87.1,74.3,50.0,25.7,92.4,96.7,96.7,95.2,86.2,92.4,31.0,87.6,2013
82,Rajbari ,30,Dhaka,93,Rajbari,Rajbari,100.0,95.7,91.9,95.7,93.9,94.3,93.7,85.0,79.2,100.0,95.7,91.9,96.4,94.5,95.0,94.3,88.8,82.4,3.7,5.1,7.1,5.0,1.9,6.7,98.1,97.6,90.0,75.7,51.9,94.3,92.9,75.7,51.0,29.0,94.3,99.0,98.1,98.1,91.4,98.1,74.8,93.8,2013
81,Rajshahi ,50,Rajshahi,94,Rajshahi,Rajshahi,100.0,96.7,90.6,96.1,95.0,95.0,95.0,91.7,84.8,100.0,96.7,90.6,96.1,95.0,95.0,95.0,94.0,87.1,6.1,6.7,7.8,4.1,0.0,1.4,99.0,97.6,87.6,69.0,45.7,93.3,91.0,77.6,54.8,36.7,94.8,92.9,92.9,92.9,89.0,91.0,27.1,87.1,2013
81,Rajshahi ,50,Rajshahi,90,Rajshahi CC,Rajshahi CC,,,,,,,,,,100.0,98.3,94.9,97.4,97.4,96.3,96.3,94.9,92.0,,,,,,,,,,,,,,,,,,,,,,,,,2013
81,Rajshahi ,50,Rajshahi,69,Rajshahi Division,Rajshahi Division,99.7,96.2,92.1,95.7,94.3,93.8,94.0,90.4,85.2,99.7,96.2,92.1,95.7,94.3,94.1,94.1,92.3,87.0,4.2,5.3,6.5,2.7,1.3,4.2,98.6,97.4,87.2,66.6,45.3,94.9,92.3,78.7,57.0,36.3,93.4,97.3,96.8,96.7,81.2,93.2,35.4,88.0,2013
85,Rangpur ,55,Rangpur,57,Ran CC,Ran CC,98.1,93.2,90.4,91.8,90.1,90.2,90.8,81.6,77.5,,,,,,,,,,2.9,4.7,5.4,2.8,2.5,6.4,99.0,99.0,91.0,75.7,54.8,95.7,93.8,83.3,62.4,36.2,,98.1,98.1,97.6,,,,,2013
84,Rangamati ,20,Chittagong,95,Rangamati,Rangamati,93.8,87.2,81.3,85.0,82.8,81.9,83.4,74.6,68.1,93.8,87.2,81.3,85.0,82.8,81.9,83.4,77.0,70.5,7.1,9.8,10.1,6.9,5.6,11.2,88.1,85.7,70.0,47.1,32.9,80.5,77.1,60.0,41.4,31.0,81.0,96.2,95.7,95.7,91.9,94.3,31.9,92.9,2013
85,Rangpur ,55,Rangpur,93,Rangpur,Rangpur,100.0,90.8,85.1,90.9,90.9,88.6,90.9,85.9,82.7,100.0,90.8,85.1,91.5,90.9,89.7,91.5,91.0,86.5,6.9,6.5,6.0,5.5,1.0,3.3,98.6,96.2,76.2,59.0,39.0,88.6,85.7,73.8,51.0,31.9,90.0,99.5,99.5,99.5,98.6,99.5,22.9,100.0,2013
85,Rangpur ,55,Rangpur,89,Rangpur CC,Rangpur CC,,,,,,,,,,100.0,93.2,90.4,91.8,90.1,91.4,91.4,88.6,84.0,,,,,,,,,,,,,,,,,96.2,,,,98.1,98.1,36.7,96.2,2013
